window,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,mean_res_accel,x_tm_peaks,y_tm_peaks,z_tm_peaks,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,user
0,0.032639822963499994,-0.023020267379000002,0.0041165957644999866,0.985567726186018,1.0483263847989936,1.5578129532257008,1.1102230246251566e-17,1.1102230246251566e-17,1.1102230246251566e-17,1.7442576290344138,25.0,525.0,1200.0,2,8,30,112,36,10,0,1,0,1,2,0,0,0,2,10,83,78,20,5,9,16,14,30,40,32,24,23,6,6,10
1,-0.012295627876500013,-0.010091248311000034,-0.0475254751155,1.389861439375781,1.4787225298506192,1.9548120090039418,3.608224830031759e-17,3.608224830031759e-17,3.608224830031759e-17,2.4721541317804365,25.0,1650.0,3475.0,1,2,6,25,74,70,16,5,0,1,2,1,1,3,29,75,56,26,4,3,12,26,24,24,37,26,19,16,11,5,10
2,-0.04161261021699998,0.04183903601100001,0.021970399649499987,1.291994959907426,1.3093941694246396,1.8550211427189605,1.9984014443252817e-17,1.9984014443252817e-17,1.9984014443252817e-17,2.310401589494406,375.0,725.0,4875.0,1,1,4,7,13,43,73,47,7,4,1,1,5,20,47,75,28,20,0,3,16,15,19,27,34,43,19,15,7,5,10
3,0.024659019491000002,0.019852610229499995,0.05403598780749999,0.973566929545406,0.9584147724603134,1.5948348484837287,6.661338147750939e-18,6.661338147750939e-18,6.661338147750939e-18,1.8745729662346218,3700.0,25.0,500.0,4,4,3,4,16,23,44,48,44,10,3,3,5,16,41,72,28,18,7,7,9,13,12,11,24,37,46,28,12,8,10
4,0.004068519399000006,0.0017409672505000245,-0.057484181319499984,0.8474422157922767,0.8495161169997193,1.5423676907679154,9.436895709313831e-18,9.436895709313831e-18,9.436895709313831e-18,1.756700459325336,1250.0,25.0,1175.0,2,3,3,4,24,29,51,45,31,8,4,4,11,17,35,61,32,24,8,4,6,18,13,11,27,40,40,30,10,5,10
5,-0.008872291977000006,-0.017807057309499982,-0.05623120841049999,0.8052920937146772,0.885315660839009,1.5659920372513523,3.885780586188048e-18,3.885780586188048e-18,3.885780586188048e-18,1.7916224749629899,3700.0,3525.0,4550.0,2,3,3,7,22,29,50,46,29,9,7,5,15,28,52,38,33,15,2,5,9,19,12,13,28,41,30,30,12,6,10
6,0.005084216418000002,-0.0220692079045,0.0146467691655,0.7308996889519974,0.8681286463813952,1.4486549897951708,3.053113317719181e-17,3.053113317719181e-17,3.053113317719181e-17,1.6515405191754615,25.0,2275.0,4325.0,3,1,5,9,19,26,51,51,31,4,4,6,30,30,52,26,33,11,3,5,8,15,10,14,27,48,40,21,9,8,10
7,-0.002370062194999989,0.013380944774500003,-0.006106705410999979,0.7006792465065644,0.7745103474449156,1.3126459443836862,3.3306690738754695e-18,3.3306690738754695e-18,3.3306690738754695e-18,1.5064458474263671,25.0,275.0,25.0,1,4,11,16,14,44,51,31,21,7,5,4,21,28,48,26,31,17,13,7,5,14,9,15,33,61,35,15,9,4,10
8,0.011729620988000003,0.013288380499000017,0.017355855300000028,0.7410492624936538,0.8128954796748841,1.3187031757723193,8.049116928532384e-18,8.049116928532384e-18,8.049116928532384e-18,1.5531940023492996,25.0,4025.0,25.0,2,2,10,15,19,40,43,36,24,9,3,6,8,24,47,38,27,22,13,12,3,11,14,15,36,61,24,18,13,5,10
9,0.00756259336550001,-0.017534713008999985,0.04776524620349999,0.8182787359147509,0.8010872734833747,1.4235682603900357,1.4432899320127036e-17,1.4432899320127036e-17,1.4432899320127036e-17,1.6492691890797517,25.0,1550.0,4975.0,2,4,7,9,11,28,44,59,28,8,4,7,10,12,43,37,32,26,20,9,1,4,17,16,33,63,25,20,17,4,10
10,0.005422054886000002,-0.047451939136000015,0.014498750344000005,0.8668789082601506,0.8130621919075792,1.5724620689611861,7.216449660063518e-18,7.216449660063518e-18,7.216449660063518e-18,1.760641991781326,3400.0,825.0,4275.0,4,3,7,12,11,32,54,48,20,9,6,7,18,25,35,37,28,27,10,7,4,7,16,16,33,56,29,20,12,7,10
11,0.00045585611000001467,-0.016356999837000005,-0.01957556203650002,0.9085295894792139,0.8334231215279261,1.6218630191685646,1.1102230246251566e-17,1.1102230246251566e-17,1.1102230246251566e-17,1.8035098929492193,1825.0,3600.0,4025.0,5,3,6,11,16,27,56,41,23,12,2,1,7,16,24,39,45,43,13,10,4,12,18,18,34,54,26,21,9,4,10
12,-0.017687434516000012,0.02909637642149999,-0.03107586327749997,0.9835179838023373,0.799600915414801,1.5414704158943577,1.609823385706477e-17,1.609823385706477e-17,1.609823385706477e-17,1.790254219541199,25.0,3675.0,4300.0,5,5,4,8,17,23,40,47,38,13,2,3,6,8,12,51,48,44,18,8,6,19,13,29,37,44,28,14,8,2,10
