window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,0.042189125658891616,-0.0028871353355298178,0.008526967259250314,3.8103343265910583,2.809444631277403,1.9265887781791131,3.431272500759671,2.9768385440825402,-9.353060224024109,-7.1731247180380295,-7.70731693144775,0.2647061606331948,6.266535500475892,7.713075224361971,12.38962812855225,13.45162593730288,3.947379529268643,1.8558763278780657,5.886851841820087,11.69010769896679,47,40,33,0,4,4,6,5,19,57,59,22,13,11,1,2,6,31,94,46,4,10,4,2,13,10,22,76,47,17,3,5,3,4,64,33,28,21,15,18,13,2,5,1,21
1,0.012245090122391618,0.06152179517447023,0.005992822805250317,5.491496151810536,3.9203012015922414,2.5916318849135984,3.8595546139953085,2.6132202277281675,-9.447214159124108,-8.53793750423803,-7.70731693144775,0.603340461078773,8.97749761237589,8.40935117976197,12.38962812855225,13.45162593730288,7.6844557267188405,3.3601703790911506,7.448098866168823,18.492724971978816,37,44,37,0,10,11,13,15,42,36,33,24,13,3,4,2,5,22,68,59,20,12,3,5,20,15,22,47,54,27,1,7,2,5,12,29,43,30,28,28,16,7,6,1,21
2,-0.02881604023410838,0.06754605243847012,-0.008798845851749608,5.931666791505673,4.310490486780405,2.7116400998061816,4.0217150348601765,2.632168576807639,-9.867472436224109,-8.53793750423803,-7.33259885494775,0.6108305634395402,8.97749761237589,8.45928747056197,12.01065859065225,13.174221578147812,9.29057930039957,3.6787772500384506,8.087134620654357,21.05649117109239,35,37,37,0,12,11,14,17,30,32,36,28,13,7,3,1,6,37,68,40,25,9,6,5,27,14,22,42,52,26,3,4,5,5,7,22,39,36,22,32,21,12,6,3,21
3,0.08702521222789163,-0.029443953359529845,0.055331476582750255,6.027543176291249,4.469049507258394,2.5607178241803052,4.10623263496792,2.659144766663745,-10.309934467024108,-5.393194268038029,-7.8923673757477495,1.483021397159991,9.189788104075891,8.45928747056197,12.01065859065225,13.174221578147812,9.989988442944899,3.279071360732077,8.432104012388209,21.701163816065197,38,36,39,0,12,10,13,21,24,30,43,26,13,8,8,14,43,64,30,9,17,7,5,3,21,17,16,41,50,33,9,2,6,5,12,40,35,23,25,23,22,11,5,4,21
4,-0.06297140989060836,-0.1569963090150298,-0.06296121634624974,6.089032794464006,4.550286668506941,2.514653203296476,4.167695272861009,2.711923739356033,-10.563862917224109,-5.393194268038029,-8.22939140194775,0.46254754000624676,10.307211890875891,7.59467922776197,11.600602699452251,12.786447262568053,10.354537082027798,3.174064286946785,8.6868240010959,22.215425370070484,37,43,37,0,10,13,19,17,26,41,33,31,7,3,9,10,35,59,44,13,7,13,5,5,21,17,14,34,51,35,14,5,4,5,3,19,38,30,32,22,25,15,8,8,21
5,-0.12948099604410837,0.02901636335797025,-0.044020650967249525,6.081346146469034,4.482544421707999,2.6314220130305657,4.1613299282647676,2.714963575692372,-10.563862917224109,-5.306628151638029,-8.22939140194775,0.46254754000624676,10.307211890875891,7.5230936905619705,11.21663512535225,12.786447262568053,10.054984910461032,3.4626118800021795,8.659302294791818,22.17689908525504,39,43,37,0,9,12,21,21,29,37,33,27,7,4,9,11,35,57,41,12,11,7,11,6,20,17,16,27,49,39,17,4,6,5,2,20,37,31,29,27,22,17,7,8,21
6,-0.027939648492108303,0.11309639686547017,0.07758431008325037,5.8635211847242905,4.506451454978872,2.4365152637863927,3.9213787292398483,2.694556094291289,-9.913213120524109,-5.1153828058380295,-7.825776308047749,0.7790326261194704,11.847408516975891,7.5230936905619705,10.856080312752251,12.455696077516073,10.154442670019533,2.9746987128240168,7.691615231652913,20.820756614496467,39,45,33,0,9,19,18,30,30,47,29,9,7,2,6,10,45,49,36,16,18,10,8,2,22,13,14,29,52,38,19,3,5,5,4,32,33,34,24,26,19,11,10,7,21
7,0.07532652881539163,0.0339299751984702,0.023276611872250365,5.9898691124560735,4.592459384674004,2.1894949541516957,4.171534366227692,2.72306912659595,-9.58033878882411,-5.81770277353803,-8.125726516347749,0.7790326261194704,11.847408516975891,5.235477185061971,11.08424606815225,12.365825213056388,10.54817864291185,2.397519698736352,8.701120384639465,21.646818726287663,37,39,30,0,15,18,15,25,31,45,31,12,6,2,2,3,14,41,37,40,22,16,13,12,22,15,14,28,51,37,19,3,4,7,5,27,31,34,23,27,22,13,9,9,21
8,0.13873465573539176,-0.027771487487029792,0.029699112251750367,5.974942308271802,4.511412774013028,2.1696512675676556,4.18240899910416,2.621782196614494,-9.879006018724109,-5.81770277353803,-8.66725179284775,1.2154164867359665,10.68309406517589,5.235477185061971,11.902125917952251,12.577662232116237,10.18604626111497,2.3540789391875854,8.746713536528,21.28683873683055,39,34,33,0,13,14,19,17,34,33,37,23,6,4,2,6,18,23,45,49,23,9,16,9,16,18,15,34,47,44,12,3,6,5,8,29,39,32,21,23,19,17,7,5,21
9,-0.09430201807460838,-0.1472966434155299,-0.005063528967749633,6.107792640994878,4.567111749193194,2.307346734086601,4.236423803245559,2.6182301631699785,-10.514178395224109,-5.68210088533803,-9.01993426814775,1.7922095978087507,10.68309406517589,6.9420787211619706,11.902125917952251,12.577662232116237,10.433701300115729,2.6727726262307936,8.973656140015578,22.080130066362095,37,35,35,0,10,14,17,25,26,33,40,27,3,5,2,13,26,52,49,25,12,11,6,4,15,17,16,33,40,50,15,4,7,3,15,38,34,24,20,19,21,14,10,5,21
