5,x_mean,19,3,20,x_abs_diff,14,25,x_std,y_mean,8,z_abs_diff,21,11,27,1,15,26,23,mean_res_accel,6
35,-0.0094738440154999,2,10,2,4.996003610813204e-18,38,23,1.0936324177863157,-0.0318603358454999,21,4.996003610813204e-18,13,2,5,2,51,8,59,1.857723166805439,65
18,0.0249036876875,4,20,4,3.691491556878646e-17,57,44,1.435327334152243,0.0719065131255,29,3.691491556878646e-17,9,14,9,7,26,12,40,2.804596105603171,34
51,-0.0012771662444999,4,26,4,3.885780586188048e-17,50,42,1.4936552304767403,0.0347184090899999,1,3.885780586188048e-17,12,20,7,15,20,15,37,2.937004161780614,28
46,-0.0310237648005,1,30,7,3.774758283725533e-17,31,47,1.5972676050766763,-0.0470459921185,4,3.774758283725533e-17,18,17,4,18,13,11,43,3.0799906781655584,23
41,0.0179439325964999,1,26,23,2.6645352591003762e-17,27,28,1.400181262638823,-0.0239696709489999,3,2.6645352591003762e-17,26,18,3,12,12,6,32,3.063855125078979,40
35,0.02540958907,2,18,29,8.326672684688674e-18,30,30,1.1973774579804282,0.0430839210784999,26,8.326672684688674e-18,21,20,3,10,10,5,39,3.044589182370001,30
35,-0.012552070263,4,12,28,1.1102230246251566e-17,28,24,1.2894439328618317,0.023025640303,31,1.1102230246251566e-17,19,24,3,11,9,3,45,3.070174206269195,37
32,-0.048427412723,2,14,17,2.220446049250313e-18,30,29,1.4088645417500776,-0.0496278205099999,38,2.220446049250313e-18,24,22,2,8,8,3,40,2.9801739851107736,21
18,0.0072494073164999,3,16,5,3.9759862069388415e-17,36,45,1.4272335683535335,-0.036356522646,32,3.9759862069388415e-17,39,20,3,10,21,4,41,3.1166254223394456,28
47,0.0468570490845,5,13,4,2.331468351712829e-17,41,40,1.3450829033131382,0.048237639537,24,2.331468351712829e-17,42,21,5,9,25,3,46,3.196811014099176,34
43,0.0116345146305,3,13,11,2.6645352591003762e-17,43,38,1.4238147465094888,0.0345343808399999,10,2.6645352591003762e-17,30,15,6,12,24,2,48,3.0488250942293247,33
29,-0.0520353619554999,5,18,6,2.331468351712829e-17,64,49,1.6415978458093985,-0.029887676321,19,2.331468351712829e-17,23,9,4,14,38,8,39,3.133984975581745,31
30,-0.0114501498514999,5,20,6,2.1094237467877975e-17,61,47,1.6159777602063168,-0.0255864987555,20,2.1094237467877975e-17,31,2,4,11,44,10,36,3.3127909580136845,30
39,0.082085953484,3,23,5,3.1086244689504386e-17,64,44,1.5053222245188915,0.0105145953374999,12,3.1086244689504386e-17,35,4,4,9,50,7,30,3.219340940493153,25
37,0.0141112002385,1,36,1,6.217248937900877e-17,36,43,1.7831723325662328,0.0315366255255,0,6.217248937900877e-17,5,16,3,17,22,29,21,3.19827557544734,28
31,-0.0965037217589999,2,27,1,6.439293542825906e-17,29,57,2.03445202834438,-0.0212772855704999,2,6.439293542825906e-17,5,20,4,20,17,23,17,3.2749205910163472,30
30,-0.0290949125794999,1,22,14,7.660538869913581e-17,26,35,2.014082097675371,-0.0344161344719999,6,7.660538869913581e-17,33,23,3,18,11,6,37,3.3271581113368613,36
38,0.0889577756255,2,24,13,2.4424906541753444e-17,30,23,1.820514934955618,0.0458857456489999,3,2.4424906541753444e-17,36,21,1,14,11,7,43,3.4024418813473734,41
23,0.018936689811,1,17,16,2.6645352591003762e-17,27,31,1.7446150181505873,0.0423709137909999,25,2.6645352591003762e-17,26,23,3,13,12,4,47,3.328189884375493,35
24,-0.05847832001,4,15,16,6.661338147750939e-18,37,37,1.7951061213832125,-0.0521115831584999,24,6.661338147750939e-18,24,19,2,12,10,3,47,3.1664815377753035,41
28,-0.0090710408325,5,22,12,5.0515147620444624e-17,33,26,1.7488851068608642,-0.0204090308649999,13,5.0515147620444624e-17,37,17,2,9,17,4,45,3.121213625003603,44
37,0.0297990009649999,1,27,12,5.995204332975846e-17,7,14,1.7527202334157228,-0.0148292161134999,9,5.995204332975846e-17,38,46,2,11,4,5,44,3.207311666368412,36
36,0.0118448862319999,1,27,7,1.1102230246251566e-17,11,20,1.7106067435669223,0.0429988614425,7,1.1102230246251566e-17,31,36,3,12,6,7,47,3.1114244778595634,37
26,-0.000938754679,3,32,7,1.9984014443252817e-17,48,34,1.6534038778945297,0.0348700639899999,5,1.9984014443252817e-17,22,15,4,16,16,8,41,2.8625835843617438,44
32,-0.0232969814065,3,34,9,1.3322676295501878e-17,68,36,1.563203743733994,-0.047442908055,5,1.3322676295501878e-17,26,13,5,14,29,5,42,2.83243681531469,40
37,-0.0017244467134999,3,30,3,2.636779683484747e-17,61,52,1.3419387789204915,-0.0085045135195,4,2.636779683484747e-17,28,12,5,21,39,8,34,2.8714901234026877,32
42,0.0118491410945,5,25,5,6.93889390390723e-19,62,39,1.251491552247127,-0.0235779394055,6,6.93889390390723e-19,28,19,4,14,36,5,37,2.9164044995290697,28
31,-0.0046470211925,5,21,12,3.1086244689504386e-17,42,26,1.209002834886142,0.0357427469194999,3,3.1086244689504386e-17,31,18,4,13,8,6,51,2.8608938899554928,31
29,-0.0043043980529999,3,16,5,4.6629367034256567e-17,45,39,1.2160990291860094,0.0372428872319999,3,4.6629367034256567e-17,25,14,4,14,11,5,43,2.6962760198229803,27
36,0.0172947472775,2,17,3,7.771561172376098e-18,65,44,1.281487883864456,-0.0396178042159999,18,7.771561172376098e-18,25,17,4,16,27,5,43,2.679421215725418,27
42,-0.007679448446,1,21,4,3.774758283725533e-17,51,50,1.3080868138103792,-0.0084182022259999,16,3.774758283725533e-17,31,17,2,18,11,5,34,2.714587213111205,22
38,-0.0206646064079999,2,21,10,5.551115123125783e-18,62,21,1.2908737736107507,-0.021857864049,13,5.551115123125783e-18,36,20,4,19,13,3,55,2.774772900213316,33
42,0.0422587891874999,4,32,8,1.7763568394002505e-17,67,22,1.330581489289558,0.028278949301,2,1.7763568394002505e-17,41,17,4,16,10,3,53,2.923966566489745,38
43,-0.028101429507,5,30,5,3.774758283725533e-17,46,37,1.274455066132896,0.0256697364245,0,3.774758283725533e-17,30,18,2,15,6,6,39,2.973661206681763,31
