18,0,z_std,23,12,26,6,x_tm_peaks,17,22,14,25,20,21,10,15,27,x_abs_diff,x_mean,z_tm_peaks,x_std
6,2,1.9064813328352963,86,2,6,47,825.0,16,22,33,16,4,6,1,81,6,1.4432899320127036e-17,-0.0185792568545,50.0,1.3904769375815895
0,2,2.2548494127798517,16,47,34,51,2575.0,4,8,30,76,4,6,11,10,19,5.8286708792820724e-18,-0.0112966038245,2425.0,1.6240030854853749
4,4,2.513099244940224,21,34,37,48,3525.0,7,9,47,54,7,8,3,15,11,3.053113317719181e-17,0.0273022946985,25.0,1.7152250422362774
7,7,2.2062206239241884,26,18,29,40,250.0,6,18,49,44,3,5,2,26,10,4.1078251911130785e-17,0.004035379045,25.0,1.7693400625726807
8,7,1.9702887426387,40,19,28,28,200.0,5,27,39,20,4,11,3,35,10,2.4424906541753444e-17,-0.0017002092105,2425.0,1.6404692240763128
6,4,2.133877897487236,28,25,28,30,2250.0,10,12,40,36,4,7,4,25,19,5.10702591327572e-17,-0.0028182019059999,2525.0,1.7058579059086514
6,8,2.3867258502092805,27,39,31,35,25.0,13,12,33,46,2,8,4,20,14,1.6653345369377347e-17,-0.0643174679675,2425.0,1.804251243035884
4,6,2.520749730221744,31,50,30,45,25.0,5,17,22,35,1,14,18,14,9,3.587408148320037e-17,0.009883901231,2350.0,2.071838872552588
4,7,2.489817529603753,31,62,19,51,25.0,5,25,18,48,2,18,24,12,9,3.3306690738754695e-18,0.050305162005,2350.0,2.16920201914492
4,3,2.4311000027479945,24,63,32,34,2350.0,6,19,20,32,1,13,15,10,16,3.1086244689504386e-17,-0.0059950077794999,2350.0,1.974672387840158
1,6,2.1738788216012392,49,64,19,40,2525.0,4,27,22,27,9,16,13,8,6,2.8588242884097775e-17,0.036881911466,3725.0,1.949321403175308
3,11,2.2156605883326788,54,67,4,25,25.0,2,37,26,24,15,20,7,11,3,2.220446049250313e-17,0.0104528117095,4750.0,2.109355465646072
4,14,2.4694922234346497,59,71,5,33,2350.0,6,28,25,31,12,27,5,14,4,7.549516567451065e-17,-0.0421060813429999,3475.0,2.319478231595386
2,21,2.510181017263012,59,61,7,31,4625.0,7,29,29,27,14,27,5,8,4,4.6629367034256567e-17,0.0080764435329999,350.0,2.3831108437880206
6,15,2.5651432335409607,56,67,6,38,1150.0,3,33,17,25,20,22,9,7,3,4.6629367034256567e-17,-0.0161965902974999,2275.0,2.288868255420431
4,1,2.4508763645413083,43,55,19,44,2600.0,7,21,34,31,4,11,4,9,3,5.551115123125783e-18,-0.034356808377,1125.0,2.0436147057337006
12,7,2.936228744724845,36,36,13,43,2000.0,12,27,42,46,12,14,5,33,4,3.608224830031759e-17,0.0311861558775,1075.0,2.1755154013669897
4,9,3.125933703094553,37,47,9,27,225.0,9,30,32,48,12,21,6,21,3,2.3592239273284576e-17,-0.007039729946,3250.0,2.3077887037870157
3,13,2.8929972037768303,43,53,6,28,575.0,7,22,15,36,12,28,30,16,4,7.993605777301127e-17,-0.0594969481865,4875.0,2.2895824590579816
7,13,3.027098315738092,42,48,4,32,25.0,4,23,26,34,12,32,18,16,6,9.992007221626408e-18,0.010924355072,3250.0,2.275727438147212
4,8,2.961879810491512,36,51,4,33,25.0,5,29,30,30,20,30,8,13,4,4.5519144009631415e-17,0.083516757659,2225.0,2.189543318827001
3,9,2.789360172338144,30,53,3,22,25.0,7,36,30,29,17,24,8,9,3,8.881784197001254e-18,0.018336238226,1100.0,2.1796002126507115
5,9,2.550070625103201,32,46,4,22,225.0,7,34,27,28,15,23,10,12,4,3.1086244689504386e-17,-0.055454365295,1100.0,2.0759491609626983
2,13,2.612421664605356,30,44,19,24,25.0,5,15,34,44,21,19,8,13,5,4.5519144009631415e-17,-0.025691488572,1100.0,2.09278439912848
0,12,2.89675760387382,33,39,12,28,2925.0,7,22,31,40,14,25,12,18,4,4.954370247389761e-17,0.0056120421579999,4500.0,2.119476662807081
2,7,2.8679876161616518,42,50,22,44,2200.0,3,23,30,35,10,16,13,15,2,1.1796119636642288e-17,-0.01693063525,3350.0,2.1958963324878096
3,10,2.834820912294789,39,47,13,44,2200.0,5,25,35,49,10,21,24,9,2,1.3322676295501878e-17,0.020335561075,4925.0,2.234158037757686
9,12,2.8549659552363607,29,45,14,42,25.0,6,27,26,59,6,20,2,26,2,1.3322676295501878e-17,0.0306937316745,3350.0,2.2746534465295456
4,1,2.876803808510469,29,47,36,46,2250.0,12,24,27,27,7,17,5,19,11,1.4988010832439614e-17,0.0076920812859999,25.0,2.3107967195310857
7,3,2.8312297572772818,24,47,28,46,1075.0,3,16,22,18,7,16,4,19,27,1.665334536937735e-18,-0.0161725856434999,3350.0,2.305182701254054
5,7,2.7129670054353805,25,47,30,49,4475.0,5,14,18,28,8,14,2,15,29,3.774758283725533e-17,0.0283497354545,4900.0,2.3876013063815047
2,11,2.7671457982122507,28,48,44,42,25.0,7,11,17,28,11,23,17,13,9,3.4416913763379846e-17,0.002464222744,3375.0,2.3699430564645545
2,10,2.906688011471018,33,45,19,44,25.0,5,17,26,43,14,22,6,14,4,4.6906922790412856e-17,-0.0222168452109999,2200.0,2.258545511407808
8,5,2.849726885843109,34,39,19,33,200.0,7,25,22,35,17,23,16,15,4,4.884981308350689e-17,-0.0120809749645,4375.0,2.238403331362426
4,7,2.7045104421409616,35,41,30,30,1500.0,7,17,20,35,17,21,15,16,5,2.886579864025407e-17,-0.007158052946,2175.0,2.238936395066673
4,6,2.834763461541163,30,62,18,24,3725.0,6,20,20,51,10,26,16,19,1,3.663735981263017e-17,0.0254985546669999,2200.0,2.2411115901390986
7,16,3.046221307516407,39,40,5,36,25.0,4,17,26,48,13,28,11,14,3,1.2878587085651815e-16,-0.004631129484,3325.0,2.4641798583533427
7,15,2.9027284650148903,37,33,3,41,25.0,5,30,22,45,14,24,11,11,6,1.609823385706477e-17,-0.0263095794935,1100.0,2.497987869271889
4,5,2.698304043542316,36,37,11,28,3350.0,5,23,19,51,10,23,23,8,2,3.1086244689504386e-17,0.0103888726849999,4925.0,2.324084529570704
4,7,2.789586879262745,28,36,2,26,1700.0,5,28,26,37,20,23,24,9,5,1.7069679003611782e-17,0.0264927740124999,3300.0,2.29817161084103
5,12,3.056773539948407,29,53,10,20,1100.0,5,22,18,52,6,21,26,8,5,1.8596235662471373e-17,0.0044513890929999,3275.0,2.337731180066496
5,10,3.019950752373742,27,55,20,26,2225.0,4,19,18,46,6,18,21,12,3,2.220446049250313e-18,-0.013007190246,4375.0,2.386129385201984
3,18,2.83444724055118,36,48,5,31,25.0,7,31,19,32,24,16,18,13,3,6.661338147750939e-17,-0.0428895327439999,1125.0,2.493530774360456
1,15,2.9227315929223963,37,54,7,38,25.0,2,16,17,38,10,31,22,11,2,8.326672684688674e-17,-0.0021758939029999,3325.0,2.354539067014553
4,9,3.026828990259486,33,41,8,21,1325.0,3,17,17,42,12,29,26,15,6,1.1102230246251566e-17,0.0455582637069999,4400.0,2.1474273019772703
3,5,2.917505930027178,37,60,5,23,1325.0,5,27,19,35,19,20,19,17,7,2.220446049250313e-17,0.016460201235,3300.0,2.042229375547672
4,6,2.890132928224623,32,54,7,23,200.0,7,34,21,33,18,23,22,12,5,6.439293542825906e-17,-0.059295794444,1075.0,2.273627217588236
8,9,3.0558943638214,27,52,10,17,200.0,2,34,21,30,25,23,15,17,3,4.9509008004378067e-17,-0.0225714856075,4375.0,2.4263085594069724
