2,x_mean,28,20,21,z_std,1,15,16,6,5,4,26,13,y_tm_peaks,x_tm_peaks,y_std,y_mean,27,14,22
6,-0.0150361162484999,4,1,5,1.2273485631443548,3,78,21,27,94,46,31,19,125.0,525.0,1.6851099701403522,0.0113905226704999,21,45,7
5,0.0278210509965,5,2,10,1.5918603026579627,3,60,37,36,87,45,33,22,125.0,525.0,1.72665213753897,-0.0561303944749999,15,39,13
2,0.0331209475069999,2,16,16,1.8306513561301403,1,39,42,50,24,11,9,8,325.0,2500.0,1.1244864162461634,-0.0279430578154999,4,21,27
4,-0.0194801131789999,4,16,23,1.9241720897445984,3,44,37,61,51,24,4,15,2275.0,400.0,1.040163180139402,-0.008984916555,1,36,44
10,-0.0382434507035,5,6,16,2.5492825969804667,8,31,37,24,53,30,19,24,2325.0,1400.0,1.252421773631761,0.077436202994,12,33,16
17,-0.043385979537,14,9,28,2.935781671614385,10,23,34,30,38,28,11,34,4500.0,1400.0,1.4382249626255743,0.0216479918719999,15,27,13
15,0.031215749941,13,9,31,3.0388956822838877,16,25,30,26,39,24,17,36,2800.0,375.0,1.44840049270558,-0.1044994500645,12,25,12
15,0.0527849851444999,13,27,20,3.2176554041922816,15,20,32,20,44,29,20,25,575.0,375.0,1.4029935035210634,-0.016807727854,11,27,10
10,-0.036686768197,15,5,28,3.079984719931176,18,31,31,20,43,22,23,23,2800.0,1450.0,1.5007290513876148,0.0562190343364999,15,25,12
11,-0.0363257853795,12,7,28,3.0893513255866227,22,30,25,29,35,23,21,30,25.0,400.0,1.4785959149036196,-0.0294363289199999,17,22,13
13,0.060310407075,15,15,25,3.176930087844783,12,22,20,42,30,29,18,23,1375.0,1050.0,1.356272167732701,-0.0279365252675,20,25,14
11,-0.0142860504625,7,12,21,2.9851239695083933,11,27,26,42,31,27,23,33,3700.0,275.0,1.461631206447698,0.0526617359055,23,36,14
16,-0.0819032758965,3,22,9,2.908145829322691,13,30,41,37,31,22,20,41,4025.0,1125.0,1.6140986747949402,0.0257818991019999,19,29,14
16,0.0274151378499999,11,31,11,3.151812330767597,11,31,33,32,42,22,12,34,3900.0,1400.0,1.5318679129818202,-0.033919184351,15,35,12
13,0.0680647799764999,16,8,29,3.1899517570508475,13,31,45,34,48,19,16,47,4975.0,1100.0,1.5406205207323096,0.006822048763,15,36,17
19,-0.0100588375354999,14,13,20,3.033959404606517,5,38,39,38,41,23,18,36,2150.0,750.0,1.452061772565845,0.03851485444,14,51,13
17,-0.0273543447825,11,22,16,3.194273358079421,13,27,22,31,38,28,21,37,4325.0,750.0,1.2808499707256424,-0.049132934659,14,30,13
15,0.0445424427659999,7,27,15,3.245655148330057,15,21,18,26,40,23,21,20,700.0,3650.0,1.3422765703731043,-0.060899635861,20,23,17
18,0.01196087892,11,16,19,3.083320087152889,12,24,22,29,31,41,26,26,2825.0,350.0,1.3291449385241834,0.0958497589275,16,25,12
23,-0.071905371099,10,14,18,3.120801328996357,13,31,22,18,32,37,26,26,4325.0,350.0,1.2613470166813872,0.03205229664,18,30,9
18,-0.014642733152,15,13,20,3.2043044716945737,14,26,22,24,31,30,22,26,4650.0,1825.0,1.260364756022766,-0.0700173759874999,20,31,15
13,0.031558422598,9,17,20,3.338432635590159,18,28,28,31,34,35,24,25,3925.0,325.0,1.407028287973024,0.0638536940184999,19,25,17
17,-0.0528310861014999,10,13,19,3.2322546878624228,16,30,26,29,29,33,25,24,4925.0,325.0,1.4448614190039282,-0.0071716874494999,14,22,15
13,-0.0040196010549999,4,21,18,3.060802042821189,17,26,19,28,29,24,21,25,4450.0,725.0,1.3864247678597277,-0.1083767482115,16,26,20
11,0.086350121562,7,23,18,3.167140493503019,15,24,26,24,34,26,18,28,325.0,2950.0,1.451956997544166,-0.0049870394085,20,11,18
16,-0.0133431295255,8,16,22,3.0293358559131907,14,18,29,32,26,21,17,12,2975.0,825.0,1.495335379555211,0.1112122496554999,17,23,15
20,-0.067126853216,11,4,23,3.0059513310604045,7,28,20,39,24,26,21,25,3600.0,400.0,1.5853705658251396,0.010242987976,11,26,13
19,0.026133842591,14,3,30,3.1953332612609526,6,23,28,45,34,18,17,36,1725.0,2500.0,1.5735442054201418,-0.0822743406584999,16,31,13
11,0.0293415832014999,12,28,19,3.105837462623521,15,28,28,17,41,29,14,18,1750.0,1750.0,1.433476618493604,0.0555341084729999,18,18,16
15,0.0016608997534999,8,16,22,2.7674153582683148,11,23,31,28,36,28,17,18,4850.0,1750.0,1.5106737466903848,0.0462400479669999,19,19,18
10,-0.0277646473805,14,2,4,2.319680073445312,6,30,33,37,45,38,37,16,1150.0,450.0,1.4208474614972668,-0.0735975858484999,20,27,17
14,-0.0075967322634999,10,2,9,2.2665399432303337,6,45,30,35,38,41,33,28,1225.0,450.0,1.0709815342777025,-0.0524801381385,17,49,11
16,0.0746285914165,13,14,16,2.7595528272954613,18,45,14,30,21,21,17,41,950.0,375.0,0.8256948639723953,0.0251944910675,14,57,15
21,-0.0207393135809999,11,18,22,3.0284238498263933,19,45,48,22,26,27,20,15,3475.0,400.0,0.8198180244372099,0.036518001353,15,35,11
24,-0.064642857111,13,24,17,2.981287112133272,23,48,42,17,23,27,19,18,3500.0,1775.0,0.8657100181991503,0.0152410891889999,6,30,10
22,0.0036152652324999,8,16,23,3.0057427336438205,15,56,31,22,32,23,21,17,4950.0,1400.0,0.8366451187316486,-0.0227183934699999,18,34,9
19,0.064331783611,7,14,21,2.915562002986506,4,46,31,32,33,34,17,25,4975.0,2250.0,0.8492926547595054,-0.0073783966989999,24,44,16
19,0.02630642407,13,11,19,2.8151076987854804,22,52,32,28,20,33,14,24,1100.0,1100.0,0.7240409510250793,0.0249859512055,21,57,15
20,-0.0700873284064999,13,11,20,2.7959248202302724,2,54,45,24,34,34,18,16,3350.0,25.0,0.7913199732795851,-0.008836800767,15,26,12
23,-0.0152699331249999,5,11,25,2.885366843857322,3,35,34,22,37,36,19,32,25.0,25.0,1.0111681495017748,-0.0606848886175,16,48,16
23,0.0429119980269999,4,9,28,2.950420731608627,6,33,30,24,38,29,20,45,975.0,25.0,1.0216804549674443,0.0013933542009999,18,35,15
15,0.0432651570679999,6,29,13,2.8871116636979943,9,40,31,33,33,22,18,25,25.0,2250.0,0.9602817351582326,0.0555128791845,14,37,35
32,0.0183785353899999,5,22,14,2.857240911880358,15,39,32,19,40,26,25,18,4150.0,25.0,0.8979528991685257,0.0219539758449999,12,27,26
32,-0.0872953672364999,8,12,21,2.87086265851585,10,34,33,22,41,20,20,34,4350.0,25.0,0.8834151850878038,-0.0102207209875,13,32,11
28,-0.0155577404529999,10,11,23,2.902429635223566,7,37,29,30,35,24,18,36,2525.0,325.0,0.9221569404863404,-0.044531394137,10,30,16
36,0.0430270853094999,8,8,28,2.8863919668901312,8,37,35,24,37,28,19,29,1750.0,25.0,0.8895964975124642,-0.0055104252234999,15,25,20
33,0.0268917679675,5,9,27,2.8692587394041373,16,31,31,25,38,27,12,25,975.0,3475.0,0.8568499363451182,0.0337669891139999,24,25,16
22,0.0481118316065,12,6,21,2.544313908790575,7,41,33,35,42,24,21,26,3325.0,25.0,0.8477422326980228,0.021237733031,16,27,16
12,-0.0793116462609999,7,6,20,2.3981450536443583,7,34,34,42,27,24,23,22,4650.0,3850.0,0.9198563287347652,0.020714604432,14,34,20
34,-0.0549552068424999,8,6,20,2.5431538113259515,8,35,34,34,29,23,19,19,2325.0,1175.0,0.9860469472932412,-0.0016437684749999,14,29,19
13,0.0594197012709999,10,4,22,2.725565013885107,5,58,19,34,36,23,20,43,4600.0,4600.0,1.207172141624219,-0.066482302947,9,41,24
14,-0.013645374889,12,10,19,2.828519569617084,7,51,29,29,34,25,19,41,2550.0,2275.0,1.3141953683563314,-0.044645835391,8,41,25
11,0.0042054641395,9,11,19,2.746542302034908,3,36,41,40,32,25,26,15,2425.0,325.0,1.1474092441868595,0.0284940977875,12,43,17
14,0.071647142592,9,8,20,2.7948273675628976,6,33,31,48,31,25,31,40,1175.0,2275.0,1.0596679338561432,0.0163744137175,11,31,16
28,-0.0523524512259999,7,7,23,2.7700935641156588,12,39,30,34,31,27,22,19,1950.0,825.0,1.052241516777854,0.0206939014339999,11,28,14
17,-0.0443345397609999,7,6,15,2.689108344384983,8,44,39,38,23,25,16,20,3725.0,25.0,1.1416453311987618,0.037131443575,16,29,16
7,0.0095895548265,11,6,18,2.839088127023077,5,39,30,36,26,40,20,19,475.0,25.0,1.3805476164449844,-0.0187629696509999,11,20,15
5,-0.0155024157594999,9,8,28,3.006102824277983,6,30,26,35,34,38,18,16,3300.0,1150.0,1.4851301024887809,-0.0662836148739999,10,19,15
6,0.0200811735089999,7,6,27,2.8663442450451133,8,19,33,40,29,29,26,16,625.0,1150.0,1.3930592974334548,0.008302334572,8,16,19
12,0.0676725774564999,8,6,27,2.753476405986889,6,19,35,44,25,22,25,16,1150.0,1575.0,1.3790367327458404,0.0197553105395,11,22,26
16,-0.009079564331,6,12,27,2.940196981903427,8,23,34,35,28,27,11,13,1150.0,725.0,1.4408608704354964,0.0294100231244999,9,19,43
15,-0.0606209553974999,3,21,18,3.0472112893321097,3,24,38,26,33,26,12,12,4400.0,400.0,1.431778517336186,0.0364790761275,7,17,42
13,0.0086448234314999,5,22,16,3.1188978249667776,5,30,42,26,25,28,18,20,1925.0,2675.0,1.5225662505247288,-0.0688416002984999,3,13,42
11,-0.0242088409649999,7,20,22,3.1181764496309112,7,19,42,27,26,24,18,13,275.0,3000.0,1.5890483824877235,-0.0369809876264999,5,19,45
28,0.021508707592,5,14,22,2.8659793556504782,9,17,32,33,22,24,20,21,4075.0,2350.0,1.4569117232378044,0.0324404365765,7,17,42
21,0.085352685918,7,12,22,2.771953406010336,7,18,25,39,26,31,24,17,2075.0,450.0,1.4090452929985726,0.0236348872035,11,14,34
18,-0.0599938208429999,8,12,19,2.861624450677987,10,20,34,35,23,30,16,18,4950.0,4200.0,1.4639468126915118,0.0354769023964999,6,19,30
22,-0.0672844251239999,5,9,21,2.808097878441548,12,26,41,33,20,23,16,13,1400.0,1125.0,1.4028849318142396,0.0015487399515,7,22,24
33,0.0587213768525,3,20,18,2.8290780229755907,18,28,35,29,19,23,18,17,4425.0,3400.0,1.2640253944858335,-0.0551077336225,11,28,35
25,-0.0262641145369999,2,14,22,2.7199410514385582,29,33,32,21,22,20,19,16,650.0,1125.0,1.1216440706410775,-0.025543432654,8,28,44
24,-0.0112809433059999,3,9,18,2.507959179334491,22,25,32,21,25,22,27,21,1550.0,25.0,1.1378804054213525,0.0449056809865,8,30,39
22,0.0981387225879999,4,8,20,2.680294045496612,8,26,29,28,32,25,17,17,950.0,25.0,1.4050762747840235,0.022266753271,11,26,31
20,0.007413750692,5,13,19,2.900546778316987,9,33,31,32,37,25,12,27,1100.0,300.0,1.599857980433956,0.023688580695,12,24,34
27,-0.065445379141,3,19,23,3.17337167210763,9,36,26,37,29,25,8,30,3375.0,1150.0,1.5812888040391395,0.0009064591674999,14,27,48
31,-0.0314676142064999,4,12,31,3.2737448853353084,10,23,33,37,33,27,10,17,250.0,4475.0,1.5083136105404793,-0.088140987619,11,41,40
24,0.0289290042219999,6,10,31,3.144245350299557,27,20,35,27,32,36,12,24,2750.0,2250.0,1.6234650254335858,-0.0343072071865,7,32,27
30,-0.010458670927,6,6,21,2.9450181351924645,24,14,32,28,38,35,22,28,4175.0,1150.0,1.7354691379186618,0.08890616657,10,20,19
33,-0.0224813385199999,6,10,22,2.824009473866284,19,25,24,28,36,31,18,14,2950.0,1125.0,1.684071725848676,0.065809081796,11,14,23
32,0.03508338267,5,14,22,2.9951327748197247,21,23,23,31,33,23,14,22,4075.0,2275.0,1.6230940634005524,-0.0514051214229999,10,27,38
27,-0.0191313877065,10,13,24,3.1680590062105365,25,26,26,26,43,20,14,20,1375.0,3425.0,1.4910557064481305,-0.0718784167284999,7,40,31
23,0.0081788005519999,4,16,24,3.3407634098956027,28,22,29,19,32,42,9,31,1525.0,25.0,1.4873833737664743,-0.0014192507635,11,22,47
32,0.0588535674844999,2,11,24,3.102025436569099,18,21,38,15,33,49,12,29,2325.0,25.0,1.4324460569129471,0.0448882143825,7,15,45
27,-0.0366570720179999,9,6,21,2.7543071342811074,31,22,43,16,36,37,19,26,1100.0,25.0,1.3925001888977784,0.060733496445,10,12,22
37,-0.0224327706125,6,7,20,2.8231414274771187,16,26,39,28,40,31,20,29,625.0,1175.0,1.6466011893258088,0.0181486317854999,7,18,30
38,-0.0243935377069999,5,8,20,2.8064327670699187,10,26,41,28,40,31,16,36,4200.0,1175.0,1.533678167950349,-0.05291374382,11,29,26
34,-0.0133399857075,4,4,25,2.986560601824174,14,32,23,32,35,30,21,22,2300.0,1150.0,1.4954876953132348,-0.067067278599,17,30,16
29,0.0294229916684999,4,4,23,2.747113969213783,10,19,31,31,40,39,19,21,3800.0,1150.0,1.5672085369606314,-0.0285118779694999,16,29,11
22,0.027081219296,4,9,14,2.2908714364989757,27,25,32,23,41,29,23,26,1900.0,2375.0,1.500819072636984,0.0663173600765,19,15,18
33,0.0261003695515,7,4,15,2.564125699988976,12,21,34,25,51,20,28,26,375.0,25.0,1.708633018081123,0.0039581888345,7,17,24
29,0.0113199762345,9,5,9,2.716535847696321,10,21,34,27,50,23,24,32,375.0,25.0,1.6637033361618825,-0.008722635739,9,21,25
