0,26,y_std,x_mean,z_abs_diff,10,z_tm_peaks,5,z_mean,2,x_std,7,mean_res_accel,22,24,9,27,4,28,6,15
4,8,2.022623029341577,0.048248325557,3.552713678800501e-17,2,2575.0,78,0.0035190565439999,9,3.7065052266981455,16,4.756126678593527,38,31,4,4,38,2,31,82
6,9,2.159664689786537,0.0460574243929999,8.881784197001254e-18,3,3925.0,45,0.0812602193509999,15,4.6938046886678615,14,5.789648006849492,17,62,7,6,40,9,38,32
9,5,1.98132330279824,-0.0863570616455,9.325873406851316e-17,17,2900.0,43,0.0278888064034999,21,4.8317727809350215,11,5.524339607816801,20,81,7,4,30,2,43,7
9,2,1.9805303770490328,-0.1604346361274999,2.142730437526552e-16,11,3250.0,46,0.0066808980459999,17,4.639777070142897,17,5.445031364641811,22,56,6,5,31,3,39,10
10,16,2.28017441006449,0.0237806532609999,2.6645352591003762e-17,3,4675.0,42,-0.023946237038,18,4.538679774888067,24,5.659816504043116,23,67,7,2,24,6,45,18
8,14,2.467695203396724,0.1286601340745,6.661338147750939e-18,4,4950.0,44,-0.020296629171,17,4.375375676553692,30,5.419318260822546,20,80,7,3,27,2,40,16
7,3,2.0959737911886567,-0.0941492540644999,2.4424906541753444e-17,7,3275.0,50,0.0621791053074999,12,4.532086450143738,29,5.188167151763468,18,71,6,4,27,1,36,16
8,3,1.954295441961852,-0.0315964976025,3.8302694349567904e-17,14,2975.0,49,-0.1180723136515,10,4.504678052228527,25,5.200768519077476,20,65,4,3,22,3,48,9
8,11,2.1916712424990865,0.169837233432,1.1546319456101628e-16,2,1125.0,54,-0.0556687800474998,14,4.446177903407805,18,5.411658997522034,18,68,3,2,19,3,49,32
6,12,2.298306605062648,-0.0564954481875,5.35682609381638e-17,1,1225.0,50,0.1144916498525001,17,4.6673037961051165,22,5.710725117530461,12,81,6,5,23,9,41,28
3,8,2.2180976760219493,-0.1213517288045,1.7763568394002505e-17,6,3850.0,43,0.0466815258485,13,4.554390922162419,33,5.538270548291874,14,79,8,7,20,4,43,21
8,2,2.2534560247235307,0.0637092315495,3.1086244689504386e-17,5,625.0,39,-0.1246927317994999,22,4.296576797202673,30,5.376562060954699,20,62,6,2,29,6,33,32
6,2,2.6197326904120297,0.082032914301,5.662137425588297e-17,8,1075.0,38,-0.0836244758439999,22,4.127668041686106,23,5.5227122520756255,23,44,4,3,35,6,32,16
5,10,2.6635329425056757,-0.034818986887,1.1324274851176594e-16,3,4800.0,43,0.1068255362549999,19,4.031546714072331,19,5.411078924311787,16,76,3,3,35,9,33,23
