4,11,15,25,y_mean,x_std,y_std,z_abs_diff,z_std,x_abs_diff,14,19,0,2,5,x_tm_peaks,y_tm_peaks,16,12,22,9
10,9,31,97,0.0148067166129999,0.9931108880043308,0.6319117096033221,8.326672684688674e-18,1.350958432057917,8.326672684688674e-18,74,3,2,2,22,1300.0,825.0,9,23,6,19
29,5,54,69,-0.0283474318575,1.3806604035434067,1.1189503295559575,3.885780586188048e-17,1.5888669985993582,3.885780586188048e-17,66,2,4,6,60,1675.0,25.0,24,3,7,2
20,12,29,81,-0.0604315933365,1.687728114948521,1.4951729268975575,2.55351295663786e-17,2.3526921679078474,2.55351295663786e-17,57,3,6,9,51,2725.0,1850.0,20,16,8,4
19,27,13,55,-0.0471227468065,2.198753645449436,1.6397644112537504,6.605826996519681e-17,3.2171393410406406,6.605826996519681e-17,19,3,3,7,24,25.0,25.0,10,57,15,10
16,41,9,39,0.0697701363755,2.5397292904373834,1.948712823284507,7.605027718682323e-17,3.441893042584476,7.605027718682323e-17,15,9,5,10,19,1200.0,1200.0,6,51,9,18
17,43,7,32,0.0999219102825,2.6416993708798966,2.122366735965937,6.661338147750939e-17,3.4383987162750005,6.661338147750939e-17,9,2,6,9,18,1925.0,3525.0,6,43,11,14
16,43,6,27,0.008184093094,2.6494608346366606,2.018975605817409,6.661338147750939e-17,3.3604792343008336,6.661338147750939e-17,16,3,11,8,16,2350.0,3550.0,7,54,10,15
19,39,9,40,-0.0426388347329999,2.5941377508136974,2.012212209512598,7.771561172376098e-18,3.265329291901563,7.771561172376098e-18,20,6,7,7,18,2350.0,3550.0,5,48,8,14
19,35,6,60,-0.0583940437774999,2.594031255396764,1.9527539839679844,5.773159728050814e-17,3.3925254651161847,5.773159728050814e-17,26,6,8,10,20,25.0,1250.0,7,48,8,17
16,23,12,57,-0.0095936574609999,2.591401607436047,1.8965273891248224,2.4424906541753444e-17,3.358803481975271,2.4424906541753444e-17,37,9,9,14,21,1425.0,2450.0,10,35,8,20
13,30,17,43,-0.0222339338985,2.614886326857059,1.9861263298341647,1.8596235662471373e-17,3.380719020325978,1.8596235662471373e-17,30,5,10,12,21,3525.0,3525.0,7,44,11,16
26,23,22,49,-0.0489819681819999,2.7923442403046117,1.922907811517671,8.104628079763643e-17,3.510226642813226,8.104628079763643e-17,36,4,12,17,21,300.0,25.0,13,37,13,17
18,16,26,58,0.0835486872935,2.9669595419994508,1.9483674171156131,2.220446049250313e-17,3.767750236472116,2.220446049250313e-17,42,5,3,11,24,300.0,3475.0,10,33,12,25
25,27,19,57,0.0751396872789999,3.015974233659964,1.951372740491728,6.836111537955601e-17,3.691976997004,6.836111537955601e-17,29,5,3,15,27,25.0,1125.0,7,42,13,3
26,25,28,32,-0.0356124655234999,2.960659435378328,1.8571319771598973,1.3877787807814454e-16,3.271900860480625,1.3877787807814454e-16,32,7,12,16,33,25.0,1200.0,6,39,10,3
18,24,21,42,-0.0415155661764999,2.861464869262049,1.975694932584313,1.9984014443252817e-17,3.430756703887233,1.9984014443252817e-17,30,8,4,13,25,900.0,3625.0,9,38,15,18
24,23,21,50,-0.010666317291,2.996653291420251,1.927307138862666,8.881784197001254e-18,3.5608290397184725,8.881784197001254e-18,23,7,7,16,35,25.0,25.0,13,32,16,2
25,16,33,48,0.0276434724754999,2.7633330261497218,1.602853654048481,2.1094237467877975e-17,3.3284513986423514,2.1094237467877975e-17,29,2,4,13,40,25.0,25.0,11,28,14,2
24,18,22,76,0.0341419923095,2.603953685396265,1.6548067368427857,2.130240428499519e-17,3.319165289560184,2.130240428499519e-17,33,3,3,6,30,25.0,1250.0,12,41,21,3
23,33,14,91,0.0173816338149999,2.5912627825097223,1.7291523977371512,4.329869796038111e-17,3.361048423310773,4.329869796038111e-17,22,4,3,7,31,25.0,3675.0,10,41,25,3
31,4,43,44,-0.014268669907,2.216459487005317,1.955829821882656,4.884981308350689e-17,2.809945331190301,4.884981308350689e-17,55,5,3,11,25,25.0,650.0,11,20,13,9
49,5,32,48,-0.0368713637819999,2.4323645438300576,2.1021806093852518,6.661338147750939e-18,2.4461132744724665,6.661338147750939e-18,48,5,2,14,53,25.0,1650.0,18,25,20,3
53,16,25,61,-0.0238298458845,2.5413263109485147,1.738972337338268,1.3322676295501878e-17,2.8625600095948447,1.3322676295501878e-17,31,1,2,15,52,25.0,4425.0,19,42,13,3
17,10,30,56,0.009766251411,2.2900207132246284,1.6527846254963947,3.552713678800501e-17,3.073627392633677,3.552713678800501e-17,34,4,4,11,34,25.0,4175.0,18,32,14,4
21,16,27,37,-0.01178661384,2.291499697513748,1.5800264720902066,3.608224830031759e-17,2.889977485045258,3.608224830031759e-17,41,3,3,10,24,25.0,1200.0,9,34,9,4
13,4,26,34,-0.0019517644335,2.506628784853521,1.7744156303258742,5.662137425588297e-17,2.8802076207819693,5.662137425588297e-17,60,2,3,5,24,25.0,4425.0,8,33,13,5
13,4,23,40,0.036417116638,2.891173537258246,2.1122299641550883,6.217248937900877e-17,3.289640865235264,6.217248937900877e-17,46,2,2,12,22,25.0,25.0,4,40,16,15
19,8,17,39,-0.0011825611509999,2.783065030273114,2.243978306314963,2.220446049250313e-17,3.475562010380344,2.220446049250313e-17,51,2,4,14,27,25.0,3675.0,8,33,10,12
21,6,18,59,-0.0495499055859999,2.5827842350089414,2.136174225993712,2.4424906541753444e-17,3.607460884999594,2.4424906541753444e-17,50,2,6,12,23,2350.0,1325.0,10,37,18,17
27,24,18,63,0.0437287301214999,2.8035046396922976,1.7433044618660098,1.5543122344752193e-17,3.495651673543027,1.5543122344752193e-17,32,4,6,15,28,25.0,125.0,19,38,19,3
26,23,22,27,0.018932328863,2.754881378111248,1.7242267246052796,5.551115123125783e-17,3.069741091150546,5.551115123125783e-17,32,2,6,17,37,25.0,4500.0,13,49,14,3
16,21,19,29,-0.00038351214,2.736089914022049,1.9646461638869972,7.771561172376094e-17,2.9695934571157485,7.771561172376094e-17,34,3,4,17,29,2875.0,725.0,10,55,12,10
17,2,41,22,0.0128604699905,2.557165760550259,2.306394624738347,2.331468351712829e-17,3.153731036481429,2.331468351712829e-17,67,4,3,16,24,25.0,2400.0,11,10,18,6
14,2,35,35,-0.0721731874514999,2.3609193277727174,2.2092146472105774,4.996003610813205e-17,3.3736902658760908,4.996003610813205e-17,75,2,2,5,28,25.0,25.0,15,10,16,6
21,13,19,42,-0.065861428777,2.4067463693215423,2.1068319020347164,4.440892098500626e-18,3.376553314822665,4.440892098500626e-18,30,3,2,4,29,25.0,3650.0,7,45,19,5
20,11,16,38,-0.0117238234995,2.72838685982374,2.334867796962653,1.3322676295501878e-17,3.4500173325437684,1.3322676295501878e-17,40,4,6,13,24,1200.0,1075.0,7,41,13,10
23,3,22,59,0.1429950191274999,3.5389301778121887,2.2832781455420896,1.5987211554602254e-16,3.736839017746399,1.5987211554602254e-16,52,9,2,11,23,25.0,1175.0,11,32,11,6
25,35,8,48,0.09622482873,3.6804699524676554,2.1989508609561845,6.217248937900877e-17,3.77578941163755,6.217248937900877e-17,24,8,2,14,23,25.0,1175.0,9,50,13,7
21,42,8,46,-0.0721297652435,3.013563097297056,2.2561613832887013,5.773159728050814e-17,3.505799330099161,5.773159728050814e-17,20,3,7,11,21,300.0,3575.0,5,53,10,12
22,0,25,42,-0.0455690985055,2.549107171559496,2.3709282036045907,9.992007221626408e-18,3.524024358575886,9.992007221626408e-18,61,8,10,5,29,3225.0,275.0,8,30,11,10
26,1,38,41,-0.0092360630405,2.752654023694719,2.077486247945021,3.3306690738754695e-17,3.3757656757278767,3.3306690738754695e-17,67,4,5,14,37,25.0,25.0,7,22,15,4
22,32,15,28,0.0167499144064999,2.831537100716349,1.767290430390143,5.3290705182007506e-17,2.858713881077851,5.3290705182007506e-17,39,4,3,21,35,2575.0,25.0,10,43,13,7
29,25,18,49,0.0262468736214999,2.9840936326867733,1.7731343676892224,3.219646771412954e-17,2.818454602853484,3.219646771412954e-17,22,9,2,17,39,25.0,2550.0,16,34,16,4
29,29,17,72,-0.0114915333945,3.158598500602358,1.8562479426883756,3.386180225106728e-17,3.1796699318067896,3.386180225106728e-17,27,3,4,18,36,25.0,3725.0,14,34,15,2
18,27,12,62,-0.023504488247,2.857695870337299,1.988690369856738,3.774758283725533e-17,3.277005668669295,3.774758283725533e-17,42,5,2,16,26,25.0,2450.0,8,36,15,15
25,9,28,31,-0.0323664697925,2.8046262722820883,1.9944419238897155,1.2212453270876722e-17,3.0741041956267687,1.2212453270876722e-17,52,5,10,9,32,25.0,25.0,7,36,12,9
28,9,27,50,0.0061137873965,2.965881424453318,1.8521280138656329,5.551115123125783e-17,2.917719042611848,5.551115123125783e-17,53,2,2,18,31,25.0,2475.0,19,32,12,8
27,15,27,30,0.025724299462,2.7423272241768206,1.9021667318818527,3.1086244689504386e-17,2.9999573930912624,3.1086244689504386e-17,37,7,4,9,39,25.0,3950.0,16,30,18,5
16,19,26,29,0.0132964087224999,2.2951399288327923,1.9954454468363556,4.329869796038111e-17,3.116660087274393,4.329869796038111e-17,47,8,2,5,31,225.0,3850.0,9,33,19,12
21,25,23,25,0.0155873944059999,2.5871190119973657,1.964118137274016,1.1657341758564145e-17,3.213863314014948,1.1657341758564145e-17,34,2,10,12,37,25.0,1425.0,13,41,17,2
14,35,13,29,-0.0042361271809999,3.016149298661938,1.780672723946689,2.4424906541753444e-17,3.250408305448655,2.4424906541753444e-17,31,1,3,15,28,3825.0,3925.0,13,37,15,7
20,27,9,29,0.0165914110045,3.255894917893074,1.7906600733335671,1.1102230246251566e-17,3.178352712554587,1.1102230246251566e-17,39,5,7,16,36,25.0,25.0,12,40,13,3
21,33,10,59,-0.0130048210575,3.035692891688261,2.047148849691183,2.220446049250313e-18,3.3062463573536496,2.220446049250313e-18,37,7,8,12,39,25.0,2450.0,8,43,10,3
19,26,13,52,-0.026888513504,2.598349314193946,2.156432627813988,8.215650382226157e-17,3.451148084224164,8.215650382226157e-17,40,10,2,6,29,3625.0,4550.0,10,32,11,14
29,8,31,46,0.0311409406265,2.873094536759386,2.248485622410869,2.55351295663786e-17,3.634653007549736,2.55351295663786e-17,52,13,5,13,34,25.0,2775.0,14,29,11,3
25,7,28,38,-0.0055215382495,2.8859481132010227,2.19125410715336,4.440892098500626e-17,3.735764666797511,4.440892098500626e-17,49,7,6,14,40,1200.0,50.0,13,38,14,4
26,31,19,41,-0.0876400281945,2.5910521529760717,2.067150307110283,4.884981308350689e-17,3.721414140541679,4.884981308350689e-17,38,5,4,13,35,25.0,4275.0,6,40,15,2
24,24,10,47,-0.073324566531,2.586873375052836,2.072225586062425,7.327471962526034e-17,3.76044776053432,7.327471962526034e-17,40,4,6,13,21,1650.0,4750.0,10,42,12,13
21,21,12,48,0.0426664071044999,2.6155217073134795,2.084364850107965,2.220446049250313e-17,3.6327033584737136,2.220446049250313e-17,45,5,6,12,25,25.0,3725.0,9,41,10,22
40,14,28,48,0.1091886733774998,3.1615313160579235,2.0848792718050047,4.440892098500626e-18,3.1304908584818905,4.440892098500626e-18,41,4,7,18,39,25.0,2250.0,15,32,14,2
41,12,20,27,0.0826574038664999,3.295043979199705,2.133413473147416,1.7763568394002505e-17,2.994458588182985,1.7763568394002505e-17,41,7,8,19,38,25.0,1250.0,15,38,15,2
33,54,11,28,0.0202578296495,2.75442773672049,1.9493672092855268,1.021405182655144e-16,3.190062079878018,1.021405182655144e-16,18,5,3,9,34,25.0,4925.0,6,44,16,1
23,42,15,50,-0.0350785159699999,2.596839264331056,1.7559813387824703,5.2943760486812146e-17,3.232513889843071,5.2943760486812146e-17,26,8,3,12,29,25.0,2425.0,5,41,13,8
15,29,17,50,-0.0203233984239999,2.743886783932336,1.7777224204810187,6.217248937900877e-17,3.4663057751027053,6.217248937900877e-17,31,3,7,10,21,475.0,4550.0,3,45,11,38
17,28,12,35,-0.0336558952279999,2.788269928484863,1.8522993790989488,6.994405055138485e-17,3.511923975700053,6.994405055138485e-17,35,4,7,11,24,25.0,25.0,3,37,10,30
21,17,22,48,-0.0640845253954999,2.9713853172241924,1.9467028195771952,1.8873791418627666e-17,3.6168586106809473,1.8873791418627666e-17,47,4,4,12,23,275.0,125.0,12,29,11,15
20,13,24,35,-0.009022435344,3.1023097212036315,1.9149848225691333,5.10702591327572e-17,3.9452896454389577,5.10702591327572e-17,49,4,4,12,20,275.0,2500.0,14,25,13,20
27,22,21,29,-0.016056645206,3.126978315040926,1.842940314369416,6.10622663543836e-17,4.015827125125016,6.10622663543836e-17,33,2,2,8,20,1125.0,1200.0,10,40,13,8
26,23,19,33,0.0817888073214999,3.062154041401099,1.9570822635538256,2.2724877535296174e-18,3.7750305741775416,2.2724877535296174e-18,30,4,1,8,21,1125.0,4675.0,10,36,13,8
20,22,18,45,0.0791069268705,2.892325956473452,2.0272901484861343,2.886579864025407e-17,3.530221587444344,2.886579864025407e-17,29,8,9,9,15,1175.0,25.0,10,41,10,14
22,30,10,58,-0.0760810654085,2.963875014601824,1.9755598654702304,2.1094237467877975e-17,3.452067514019197,2.1094237467877975e-17,31,7,4,10,21,25.0,1200.0,4,51,9,2
21,25,12,67,-0.0338088739044999,2.9866334465584568,1.971323159667684,9.547918011776346e-17,3.582565586572592,9.547918011776346e-17,26,6,3,9,28,25.0,3500.0,4,42,11,2
21,21,13,66,-0.0276549944749999,3.048136609101592,1.9677328126302356,6.897260540483785e-17,3.804070453491721,6.897260540483785e-17,36,5,3,10,21,25.0,25.0,6,43,11,13
18,25,11,38,-0.0147234880569999,2.9493053181743147,2.081756877255469,3.552713678800501e-17,3.897025206978853,3.552713678800501e-17,37,5,3,9,24,25.0,4575.0,5,45,14,13
18,24,15,37,0.0923269463715,2.7694175844083238,2.1793826764027964,3.1086244689504386e-17,3.7120299353747352,3.1086244689504386e-17,41,4,5,8,23,2025.0,25.0,9,39,13,25
23,6,32,45,0.0315290265195,2.942717831347152,2.3438733959541684,8.1601392309949e-17,3.6306104234671928,8.1601392309949e-17,48,6,8,13,31,25.0,3525.0,19,29,9,6
22,4,29,36,-0.0691815927374999,3.0413965807968477,2.36989835501056,1.2212453270876722e-17,3.690050508057094,1.2212453270876722e-17,44,4,9,12,27,25.0,2750.0,20,34,6,6
17,18,36,46,-0.0247897446419999,3.006959441096464,2.051693157845621,3.552713678800501e-17,3.749538403926501,3.552713678800501e-17,31,9,3,14,26,450.0,75.0,13,32,9,32
18,16,33,49,-0.0282958140064999,3.0694027023070407,1.8827767618863784,1.7541523789077474e-16,3.845918364138533,1.7541523789077474e-16,38,6,2,14,24,1150.0,4300.0,8,33,10,25
24,19,23,44,-0.090771996872,3.684255588202711,2.085997604788968,9.2148511043888e-17,3.943462704143789,9.2148511043888e-17,42,5,9,17,50,25.0,1225.0,10,38,15,2
18,19,11,55,0.0987890980075,3.9469440460651546,2.360757087517204,9.103828801926283e-17,3.995057928118318,9.103828801926283e-17,30,3,14,15,47,25.0,4650.0,7,59,15,2
18,49,5,56,0.1400397496989999,3.685101975778897,2.203994952018917,1.021405182655144e-16,3.818048209953954,1.021405182655144e-16,11,2,11,10,18,3375.0,25.0,5,64,14,19
20,30,10,40,-0.054093008705,3.4659494684362,2.1546462900706462,3.774758283725533e-17,3.546018666401844,3.774758283725533e-17,22,7,7,12,20,1100.0,3550.0,5,55,7,14
