8,z_tm_peaks,2,20,12,17,5,7,27,x_abs_diff,z_mean,y_abs_diff,z_abs_diff,14,9,19,16,10,11,x_std,28
2,3300.0,22,1,1,34,35,6,30,3.3306690738754695e-18,0.0016643268204999,3.3306690738754695e-18,3.3306690738754695e-18,33,1,8,44,2,0,0.91892051339223,14
3,600.0,20,2,11,14,41,4,8,1.3912482277333992e-17,0.0088169272615,1.3912482277333992e-17,1.3912482277333992e-17,62,1,3,23,3,0,0.8934564828608544,1
9,2150.0,19,5,45,6,37,18,6,1.7763568394002505e-17,0.048158780825,1.7763568394002505e-17,1.7763568394002505e-17,35,3,2,8,4,19,1.0372981893441453,5
13,3575.0,25,6,58,5,18,35,5,2.0816681711721684e-18,-0.0059414411,2.0816681711721684e-18,2.0816681711721684e-18,21,3,3,7,14,37,1.2013034954974977,10
28,1575.0,23,1,45,7,16,31,10,6.88338275267597e-17,-0.0155295120435,6.88338275267597e-17,6.88338275267597e-17,6,2,4,4,35,54,1.1577433491974354,8
30,4650.0,20,1,47,6,21,37,7,4.7184478546569146e-17,0.0686095751465,4.7184478546569146e-17,4.7184478546569146e-17,7,6,2,5,29,65,1.0544159398959805,8
37,1000.0,20,5,42,10,13,39,5,2.220446049250313e-17,-0.027294915762,2.220446049250313e-17,2.220446049250313e-17,17,9,9,6,16,58,1.0186805122362814,11
6,525.0,21,6,56,4,23,34,8,4.912736883966318e-17,-0.047823688364,4.912736883966318e-17,4.912736883966318e-17,13,2,1,7,13,60,1.2160307685771892,6
7,2600.0,23,3,67,5,28,36,9,5.551115123125783e-18,-0.0207383926375,5.551115123125783e-18,5.551115123125783e-18,9,3,3,3,16,51,1.226064064036231,8
5,3650.0,15,3,46,5,32,26,8,4.218847493575595e-17,-0.067283764929,4.218847493575595e-17,4.218847493575595e-17,7,4,3,5,32,63,1.0029844158701866,5
12,550.0,16,5,52,8,25,27,8,3.386180225106728e-17,-0.0191367221909999,3.386180225106728e-17,3.386180225106728e-17,21,3,3,4,19,55,1.0067012935806725,6
20,3000.0,22,5,56,4,18,33,10,1.8318679906315084e-17,0.001001747126,1.8318679906315084e-17,1.8318679906315084e-17,26,4,5,8,10,47,1.0673488191151874,4
18,4600.0,14,5,51,4,17,38,3,4.996003610813204e-18,0.00391031055,4.996003610813204e-18,4.996003610813204e-18,28,2,4,8,8,44,1.0028203225619312,8
19,1000.0,17,7,36,5,28,42,1,2.851885394505871e-17,0.068070775755,2.851885394505871e-17,2.851885394505871e-17,23,2,1,8,31,53,1.0393813123347495,11
19,4625.0,15,12,40,6,26,46,6,1.5543122344752193e-17,0.011927116245,1.5543122344752193e-17,1.5543122344752193e-17,10,9,2,6,31,68,1.0643086795758272,9
3,3175.0,22,11,47,7,30,16,4,4.1078251911130785e-17,0.037809941424,4.1078251911130785e-17,4.1078251911130785e-17,9,1,3,4,36,60,1.061714313196437,8
0,1600.0,21,3,55,4,45,2,5,5.2180482157382354e-17,0.0285404974289999,5.2180482157382354e-17,5.2180482157382354e-17,11,3,1,9,24,53,1.0293208753667344,7
2,2575.0,24,4,31,9,45,10,6,1.7208456881689926e-17,-0.043690045416,1.7208456881689926e-17,1.7208456881689926e-17,47,2,2,16,3,6,1.0715732893345642,9
18,4650.0,17,3,47,4,28,40,7,1.942890293094024e-17,-0.0237751642074999,1.942890293094024e-17,1.942890293094024e-17,35,8,1,11,4,11,1.1371497624021378,10
18,1025.0,6,14,64,4,31,57,6,3.4972025275692425e-17,-0.0405094966249999,3.4972025275692425e-17,3.4972025275692425e-17,21,4,1,6,3,35,1.0598587942101398,8
31,4125.0,11,14,48,4,22,51,10,3.219646771412954e-17,0.0015234575914999,3.219646771412954e-17,3.219646771412954e-17,25,17,6,8,12,60,1.241962674877593,9
38,2050.0,12,19,47,8,20,40,6,6.88338275267597e-17,0.0117312576814999,6.88338275267597e-17,6.88338275267597e-17,27,19,6,8,12,44,1.2465726785914375,8
24,4100.0,7,11,55,8,27,43,5,2.4424906541753444e-17,0.0717232905925,2.4424906541753444e-17,2.4424906541753444e-17,20,6,6,11,11,38,1.1492568382438402,5
36,4650.0,4,11,58,8,26,34,5,2.220446049250313e-18,0.0181341923434999,2.220446049250313e-18,2.220446049250313e-18,15,8,6,9,9,44,1.1879899090279329,9
4,300.0,10,3,45,11,69,9,9,1.817990202823694e-17,-0.0454467719994999,1.817990202823694e-17,1.817990202823694e-17,32,2,7,13,5,9,1.5295818173250666,10
4,3325.0,11,3,44,9,61,9,11,5.551115123125783e-18,0.0436610410434999,5.551115123125783e-18,5.551115123125783e-18,34,2,4,12,5,12,1.5305984705901574,10
30,975.0,16,6,44,7,20,42,4,4.773959005888173e-17,-0.0085114423294999,4.773959005888173e-17,4.773959005888173e-17,27,10,8,16,4,25,1.0712281311628358,8
31,3500.0,9,8,52,5,22,37,3,2.5396351688300457e-17,-0.0181676616279999,2.5396351688300457e-17,2.5396351688300457e-17,22,10,5,13,3,24,1.1018415496919478,6
29,2575.0,8,19,67,3,22,44,3,3.663735981263017e-17,-0.0063161497274999,3.663735981263017e-17,3.663735981263017e-17,26,7,1,8,21,38,1.0956456003625117,7
10,4050.0,16,15,72,3,27,39,4,1.906461100098511e-17,-0.0884312587934999,1.906461100098511e-17,1.906461100098511e-17,26,2,1,9,15,45,1.0360695345558515,4
17,1550.0,17,7,47,6,21,35,6,2.8310687127941486e-17,-0.034485576428,2.8310687127941486e-17,2.8310687127941486e-17,17,2,5,13,8,32,1.1346005139055575,7
32,2000.0,13,8,47,7,12,41,4,2.220446049250313e-18,0.0205476225465,2.220446049250313e-18,2.220446049250313e-18,17,14,1,10,16,48,1.132770495622274,8
26,3575.0,15,11,57,7,16,41,4,5.551115123125783e-18,0.0060199128495,5.551115123125783e-18,5.551115123125783e-18,20,19,1,8,17,43,1.0328562309352316,10
27,1575.0,11,3,65,6,22,40,2,2.6090241078691177e-17,0.080657532127,2.6090241078691177e-17,2.6090241078691177e-17,17,8,2,12,9,31,1.0791863379069115,9
38,1550.0,6,3,43,6,23,58,11,1.942890293094024e-17,0.0242494581234999,1.942890293094024e-17,1.942890293094024e-17,20,8,1,16,5,17,1.157846904031105,6
32,4075.0,2,4,48,2,25,58,13,2.4424906541753444e-17,0.0115629143975,2.4424906541753444e-17,2.4424906541753444e-17,25,8,1,16,4,21,1.1379234295035685,6
20,3525.0,19,6,52,5,18,40,5,3.9968028886505634e-17,0.0134064419985,3.9968028886505634e-17,3.9968028886505634e-17,26,7,5,12,11,38,1.109666229757527,8
37,2000.0,9,5,60,4,20,42,7,3.1086244689504386e-17,-0.0105337934509999,3.1086244689504386e-17,3.1086244689504386e-17,21,8,4,8,5,36,1.185811339705906,8
47,4600.0,11,5,62,6,18,40,7,1.5265566588595904e-17,0.0514866910369999,1.5265566588595904e-17,1.5265566588595904e-17,19,11,3,7,5,35,1.1690160455592626,6
29,425.0,11,7,41,9,24,44,6,3.885780586188048e-17,-0.0300228638475,3.885780586188048e-17,3.885780586188048e-17,22,11,7,17,7,31,1.030245681047942,7
43,1500.0,13,14,52,5,20,33,4,2.6090241078691177e-17,-0.064653042786,2.6090241078691177e-17,2.6090241078691177e-17,19,20,5,14,12,34,0.9986157134668808,5
33,2425.0,12,17,54,6,28,36,8,4.579669976578771e-18,-0.0222934263224999,4.579669976578771e-18,4.579669976578771e-18,19,10,8,12,14,35,1.005154955578802,5
37,4100.0,14,12,46,7,23,40,8,2.942091015256665e-17,-0.0554951034799999,2.942091015256665e-17,2.942091015256665e-17,18,14,5,6,19,41,1.109134413417571,4
40,2550.0,13,12,55,6,19,44,6,2.2482016248659418e-17,-0.013186304917,2.2482016248659418e-17,2.2482016248659418e-17,30,10,8,13,8,22,1.090463815685516,6
22,2575.0,12,17,39,6,16,44,5,9.992007221626408e-18,0.057224494681,9.992007221626408e-18,9.992007221626408e-18,21,11,11,13,6,34,0.9644091598969072,7
22,3575.0,13,19,44,8,18,48,5,1.1102230246251568e-18,0.0045495065619999,1.1102230246251568e-18,1.1102230246251568e-18,18,8,7,10,14,37,0.9249074897485248,5
19,1175.0,15,7,61,6,27,49,5,2.55351295663786e-17,0.046601037826,2.55351295663786e-17,2.55351295663786e-17,14,4,1,8,28,50,0.8534254487475587,4
11,4700.0,10,5,60,3,30,28,8,8.604228440844963e-18,0.0134580313569999,8.604228440844963e-18,8.604228440844963e-18,12,4,1,10,26,50,0.9085079898637844,7
8,1125.0,17,6,39,9,42,13,8,2.220446049250313e-17,-0.0088925871445,2.220446049250313e-17,2.220446049250313e-17,23,3,3,8,21,39,0.9718956893618032,9
10,4675.0,24,9,43,10,34,13,6,1.7208456881689926e-17,0.0567862336224999,1.7208456881689926e-17,1.7208456881689926e-17,19,3,6,4,22,43,0.963025109472452,9
12,3000.0,20,1,46,8,25,31,10,1.1032841307212495e-17,-0.0314077629899999,1.1032841307212495e-17,1.1032841307212495e-17,34,7,2,9,12,35,0.9748241830348384,6
