20,19,3,25,z_abs_diff,y_abs_diff,4,16,y_std,x_tm_peaks,x_std,1,18,y_tm_peaks,13,23,10,26,21,15,14
2,2,25,70,4.635181127810029e-17,4.635181127810029e-17,44,14,1.223984910922107,25.0,1.3873852164762035,6,0,2900.0,46,17,9,35,5,24,53
2,2,22,39,1.6653345369377347e-17,1.6653345369377347e-17,50,47,1.5088828543915174,25.0,1.6514680145297251,9,5,2150.0,23,26,4,48,9,45,37
7,8,23,52,4.843347944927246e-17,4.843347944927246e-17,53,47,1.5567256858878156,475.0,1.412059551969718,6,17,4375.0,14,47,5,12,10,31,17
10,10,27,48,1.6653345369377347e-17,1.6653345369377347e-17,55,52,1.6566055118656606,2350.0,1.0701170861962988,1,15,2125.0,10,46,9,25,10,28,14
10,2,30,36,9.992007221626408e-18,9.992007221626408e-18,52,58,1.617632347246469,3200.0,1.0339253632497811,16,12,4600.0,16,47,8,35,11,56,14
10,5,43,34,1.1657341758564145e-17,1.1657341758564145e-17,51,49,1.581133613082602,1050.0,1.042183971978338,15,11,3750.0,18,45,6,36,10,62,12
10,6,30,43,2.331468351712829e-17,2.331468351712829e-17,54,39,1.6413526858563716,1050.0,1.0341118902477893,11,7,25.0,16,43,8,20,14,69,17
9,4,17,40,1.1102230246251566e-17,1.1102230246251566e-17,30,35,1.6411356517607885,25.0,0.9424687759669688,7,6,25.0,13,42,8,18,15,70,31
11,3,26,43,6.661338147750939e-18,6.661338147750939e-18,42,38,1.624789448010004,25.0,0.9634636283828916,9,7,2100.0,14,45,11,20,12,77,23
12,7,17,39,2.220446049250313e-18,2.220446049250313e-18,36,61,1.6048933711983238,3175.0,1.123278378038684,8,7,2100.0,11,44,6,26,17,51,12
12,2,14,35,1.3877787807814457e-17,1.3877787807814457e-17,36,28,1.6264362349881416,2125.0,1.0983412618784054,5,8,4600.0,14,43,12,26,13,69,35
10,2,34,44,2.8310687127941486e-17,2.8310687127941486e-17,45,44,1.7158923476104997,25.0,1.0032032996833695,8,8,3125.0,15,38,9,26,13,64,24
8,13,27,33,1.2212453270876722e-17,1.2212453270876722e-17,44,61,1.7875314074649415,25.0,1.141983338336273,2,22,75.0,13,37,2,41,9,16,10
9,11,20,31,2.331468351712829e-17,2.331468351712829e-17,32,61,1.6661295983396245,3150.0,1.2002949389500712,0,26,3225.0,13,46,2,32,10,14,16
13,6,19,35,1.2212453270876722e-17,1.2212453270876722e-17,35,54,1.5062019780885525,3000.0,1.2105322256795124,4,4,1075.0,20,41,9,33,5,46,12
12,7,21,36,7.771561172376098e-18,7.771561172376098e-18,34,42,1.4652823089861096,1225.0,1.2175059557402643,6,10,4025.0,16,41,5,28,7,59,20
8,4,8,31,6.3837823915946496e-18,6.3837823915946496e-18,20,38,1.3333369129037886,1075.0,1.1715204111689257,2,10,3800.0,17,51,2,22,17,74,22
12,4,11,37,6.661338147750939e-18,6.661338147750939e-18,17,29,1.3897348893384311,3200.0,1.1142376983977365,1,8,4875.0,11,46,9,27,10,74,29
8,6,15,43,2.636779683484747e-17,2.636779683484747e-17,31,40,1.500022888587888,25.0,1.158753375524061,5,8,825.0,14,43,8,25,9,75,15
8,7,10,40,3.7192471324942746e-17,3.7192471324942746e-17,19,44,1.4202612585134968,2150.0,1.2297254143252554,7,6,3750.0,14,50,5,25,6,71,18
12,5,11,37,5.551115123125784e-19,5.551115123125784e-19,18,35,1.3834220812411566,3250.0,1.2324893339370586,7,7,1050.0,10,47,9,32,10,61,31
11,8,8,33,2.7026991755718655e-17,2.7026991755718655e-17,23,58,1.4150016811884336,1075.0,1.239926805657281,7,10,1375.0,13,40,6,30,13,48,8
9,12,7,30,5.093148125467906e-17,5.093148125467906e-17,23,63,1.3969521397588494,25.0,1.1964291160432037,2,14,550.0,14,51,5,31,14,31,10
10,9,8,34,6.938893903907228e-18,6.938893903907228e-18,25,53,1.4486320492956173,25.0,1.1872421239743989,4,13,4750.0,12,55,9,29,17,40,9
15,9,13,40,0.0,0.0,33,62,1.4519980346884365,2175.0,1.185892948635671,6,11,800.0,10,42,11,18,13,34,10
5,2,17,34,8.493206138382448e-17,8.493206138382448e-17,30,41,1.5121185498715042,25.0,1.332823057298736,1,2,1600.0,11,39,11,32,10,65,30
6,2,14,42,2.0400348077487248e-17,2.0400348077487248e-17,31,34,1.5410064233740524,25.0,1.3697311641984444,6,5,2100.0,16,36,9,37,8,52,40
11,4,12,52,8.049116928532385e-17,8.049116928532385e-17,33,26,1.3863858972998888,25.0,1.3827838070247669,6,5,4475.0,18,43,6,23,13,66,42
12,6,11,46,4.066191827689636e-17,4.066191827689636e-17,33,26,1.4611096353977862,3275.0,1.365638271580501,5,7,2175.0,17,48,9,17,13,68,34
10,5,14,56,3.885780586188048e-17,3.885780586188048e-17,32,37,1.515253191088794,25.0,1.3584185325193905,6,8,200.0,13,42,10,7,15,58,22
11,5,19,55,2.1094237467877975e-17,2.1094237467877975e-17,39,47,1.4265402125604818,1075.0,1.4690264778679665,7,12,975.0,11,39,8,9,17,46,18
11,5,25,42,1.4432899320127036e-17,1.4432899320127036e-17,47,49,1.513519862866283,3475.0,1.4609969758541443,12,13,1250.0,13,31,4,28,16,50,17
13,5,29,34,2.942091015256665e-17,2.942091015256665e-17,46,46,1.5359652095803191,25.0,1.2946364203058935,11,13,4175.0,14,22,5,42,8,48,25
12,9,30,33,1.1657341758564145e-17,1.1657341758564145e-17,46,50,1.4068572356888742,3175.0,1.011167896038622,6,27,2725.0,12,31,4,31,13,31,12
9,14,41,27,5.0792703376600914e-17,5.0792703376600914e-17,28,57,1.3888237730212545,1075.0,0.8656111219772318,18,29,4825.0,12,49,7,26,16,21,13
11,16,31,32,1.0824674490095277e-17,1.0824674490095277e-17,42,48,1.502350037202627,3250.0,0.8556865903948837,10,18,2850.0,14,53,9,17,20,34,12
10,6,28,31,1.2351231148954868e-17,1.2351231148954868e-17,33,55,1.477389117228687,1075.0,0.9354570576957988,6,23,2425.0,16,38,6,12,20,42,11
2,7,15,34,3.3306690738754695e-17,3.3306690738754695e-17,39,63,1.5152542974158252,25.0,1.0107466950521755,7,13,550.0,15,58,4,26,8,46,9
4,5,24,39,2.4286128663675298e-18,2.4286128663675298e-18,37,62,1.6253959483439575,25.0,0.9833456737787732,6,11,3225.0,13,57,9,28,12,37,12
13,14,32,37,8.881784197001254e-18,8.881784197001254e-18,37,48,1.5142124015031793,25.0,0.96006140848055,14,30,3850.0,10,41,7,23,15,13,12
14,5,34,34,1.6653345369377347e-17,1.6653345369377347e-17,35,63,1.4966117045659728,25.0,1.0097577689983197,15,19,4225.0,9,46,7,23,11,45,15
10,8,29,35,2.4702462297909733e-17,2.4702462297909733e-17,37,61,1.6231058210325209,25.0,1.0359596187912397,19,18,2750.0,11,45,6,27,12,38,15
11,9,28,42,1.6792123247455492e-17,1.6792123247455492e-17,35,60,1.573001592532921,3225.0,1.0427157249074162,17,17,3150.0,11,42,6,21,15,38,11
13,6,35,41,1.845745778439323e-17,1.845745778439323e-17,38,58,1.5476475522752162,25.0,1.0318225450849974,10,17,1050.0,11,43,9,13,13,51,16
12,8,39,32,3.1086244689504386e-17,3.1086244689504386e-17,39,53,1.7430351081299953,25.0,1.0206997251976389,10,14,4875.0,14,42,10,37,15,44,19
12,3,22,39,2.4424906541753444e-17,2.4424906541753444e-17,44,39,1.7122989015812218,1050.0,1.1327758951864906,2,12,2125.0,14,43,9,33,17,65,22
8,2,20,41,3.164135620181696e-17,3.164135620181696e-17,41,38,1.590453187496316,1050.0,1.1069462323019936,2,14,3825.0,15,48,7,34,10,69,22
7,6,31,33,2.1094237467877975e-17,2.1094237467877975e-17,45,54,1.809191274959227,750.0,1.2077058472354298,5,22,650.0,17,36,3,46,11,40,14
10,7,30,36,2.886579864025407e-17,2.886579864025407e-17,41,62,1.7593517434884471,750.0,1.3009906551507544,6,21,3125.0,15,36,3,39,13,39,12
8,8,29,44,6.9111383282916e-17,6.9111383282916e-17,47,59,1.5553701645951132,25.0,1.1685282827696517,1,12,4200.0,13,35,10,37,10,54,17
7,10,28,39,3.552713678800501e-17,3.552713678800501e-17,55,38,1.5601369703068015,2100.0,1.293485933346716,19,13,725.0,9,32,9,34,12,69,24
6,6,20,37,1.8873791418627666e-17,1.8873791418627666e-17,32,35,1.4944071121311566,3225.0,1.3909786768240813,4,15,2075.0,12,36,7,28,15,57,32
7,4,14,39,2.220446049250313e-17,2.220446049250313e-17,28,46,1.51103085462132,25.0,1.3794786502878014,9,13,4225.0,13,42,7,35,13,61,17
10,5,19,35,2.1094237467877975e-17,2.1094237467877975e-17,27,48,1.4929916413129318,25.0,1.355720059548381,5,14,2350.0,14,37,7,36,12,64,16
10,6,25,28,6.203371150093062e-17,6.203371150093062e-17,47,52,1.469853601391206,3175.0,1.3062456717290964,6,16,1850.0,17,39,6,40,12,55,17
7,1,20,31,4.440892098500626e-17,4.440892098500626e-17,25,39,1.543705725026931,3125.0,1.3717776862142614,9,13,3600.0,17,29,5,46,9,65,25
10,3,16,32,1.790234627208065e-17,1.790234627208065e-17,28,44,1.5518985239235217,1025.0,1.518869408617192,6,9,3925.0,14,29,5,51,11,63,28
11,3,13,33,3.3306690738754695e-17,3.3306690738754695e-17,30,47,1.547546541652146,1025.0,1.4804589796551302,7,9,3675.0,15,36,5,45,10,57,28
9,10,21,31,5.551115123125784e-19,5.551115123125784e-19,58,66,1.554160117174544,25.0,1.4218310645526508,6,12,650.0,10,32,7,46,9,34,18
8,12,18,31,4.329869796038111e-17,4.329869796038111e-17,57,57,1.5341692484187144,2075.0,1.4854976026800777,5,22,2675.0,9,28,6,36,8,28,12
6,6,24,33,2.220446049250313e-17,2.220446049250313e-17,49,54,1.4921572798520393,1050.0,1.3770330091854728,12,21,2425.0,14,39,2,38,9,33,14
5,9,22,34,6.328271240363392e-17,6.328271240363392e-17,29,69,1.483376738789586,25.0,1.235919914771207,7,15,625.0,15,39,3,40,10,27,14
4,11,28,34,2.220446049250313e-18,2.220446049250313e-18,39,45,1.4732157004032524,2575.0,1.1732070327203814,14,19,3250.0,15,49,5,36,15,48,19
7,9,22,45,4.440892098500626e-18,4.440892098500626e-18,36,59,1.5186505971098767,2875.0,1.1139479249106574,13,21,25.0,13,48,2,15,17,27,18
10,6,16,39,3.4694469519536136e-17,3.4694469519536136e-17,30,52,1.5681088760400603,25.0,1.123468381977544,9,14,3225.0,11,52,6,24,14,43,17
11,6,16,40,1.3739009929736312e-17,1.3739009929736312e-17,42,38,1.51548417184313,25.0,1.150604599119666,5,14,2100.0,16,49,9,30,9,61,12
7,11,35,48,1.4432899320127036e-17,1.4432899320127036e-17,55,48,1.530242074817989,25.0,1.241638447848438,7,20,4275.0,15,47,7,23,8,36,15
10,7,37,43,1.1102230246251568e-18,1.1102230246251568e-18,55,50,1.5446664123907736,25.0,1.275803611646693,8,12,375.0,15,43,8,17,15,41,19
8,6,24,40,1.942890293094024e-18,1.942890293094024e-18,38,57,1.499863381897588,25.0,1.3067442830897291,12,16,1425.0,13,42,3,29,16,44,13
7,11,22,39,3.3306690738754695e-18,3.3306690738754695e-18,44,60,1.4017878530374357,25.0,1.255735626106979,9,19,1075.0,13,42,5,28,13,39,12
12,7,25,38,2.886579864025407e-17,2.886579864025407e-17,52,45,1.4238998772431672,25.0,1.1468148167864662,5,14,25.0,14,41,10,26,11,46,14
11,17,30,33,1.6792123247455492e-17,1.6792123247455492e-17,54,51,1.5274526288801455,25.0,1.1332500248103867,7,27,3575.0,11,42,4,26,12,19,10
11,7,31,27,2.5812685322534888e-17,2.5812685322534888e-17,41,54,1.4997456460514969,1075.0,1.10440274094438,3,34,600.0,14,49,5,30,10,21,8
10,8,26,40,4.5519144009631415e-17,4.5519144009631415e-17,33,63,1.4296312037192542,25.0,1.2659362698042604,3,19,3225.0,17,49,2,24,14,22,11
14,7,32,42,1.0547118733938989e-17,1.0547118733938989e-17,48,42,1.3525754778725627,4125.0,1.3731760659415306,8,15,4000.0,12,34,7,17,16,50,19
13,6,37,36,9.055256544598933e-18,9.055256544598933e-18,39,52,1.4076346463124532,1100.0,1.3021711957936464,14,25,4750.0,11,48,5,27,12,44,16
8,4,38,40,2.220446049250313e-17,2.220446049250313e-17,49,46,1.5776569656434616,25.0,1.2511924406105768,15,32,3575.0,13,37,7,28,12,38,14
9,11,31,36,1.8318679906315084e-17,1.8318679906315084e-17,53,40,1.6921227107043668,25.0,1.279264729993746,1,25,2050.0,14,37,5,37,12,39,15
12,14,11,32,1.2212453270876722e-17,1.2212453270876722e-17,29,48,1.6091358769124608,25.0,1.237908026279423,1,23,4675.0,12,43,3,33,12,38,17
12,15,34,39,1.4432899320127036e-17,1.4432899320127036e-17,30,51,1.5180386922897011,1250.0,1.1801544272068758,16,24,25.0,8,41,5,23,9,28,19
5,8,19,48,6.661338147750939e-18,6.661338147750939e-18,29,46,1.3778056934468383,1625.0,1.2840023485932783,2,21,950.0,12,45,2,11,8,32,23
11,7,18,47,1.1102230246251566e-17,1.1102230246251566e-17,34,49,1.3359984984666011,1150.0,1.348952049200058,2,13,650.0,10,42,6,13,10,37,22
15,8,41,39,1.9984014443252817e-17,1.9984014443252817e-17,39,58,1.3453377196224183,2375.0,1.281878391991657,19,10,4925.0,9,42,8,18,13,47,19
11,5,26,27,3.747002708109904e-17,3.747002708109904e-17,35,45,1.3217046307856506,25.0,1.2365208907592855,7,7,2175.0,16,49,5,24,14,62,16
6,7,24,29,6.661338147750939e-18,6.661338147750939e-18,30,42,1.513323458030727,300.0,1.238020166368374,6,11,4675.0,17,56,4,29,14,54,19
10,4,32,33,1.7763568394002505e-17,1.7763568394002505e-17,34,43,1.4667193907726763,300.0,1.1619727584459645,21,13,4175.0,16,47,3,33,13,59,15
11,15,37,33,4.440892098500626e-18,4.440892098500626e-18,30,51,1.4417667267205605,725.0,1.0918950704653403,20,21,1075.0,12,55,4,32,15,31,12
9,15,40,37,4.440892098500626e-18,4.440892098500626e-18,31,63,1.558547822866177,2125.0,1.078705986917805,20,25,4275.0,9,50,9,31,16,22,12
7,15,32,35,3.774758283725533e-17,3.774758283725533e-17,29,55,1.4278710907689138,25.0,1.1656004143765413,6,20,3825.0,6,42,5,35,16,34,13
