24,x_tm_peaks,6,21,16,x_std,z_tm_peaks,17,y_std,x_abs_diff,3,1,15,y_mean,4,8,13,7,9,19,2
64,25.0,36,10,1,1.2564078083229684,575.0,1,1.1175135821031577,8.118505867571457e-17,9,4,4,-0.045620825708,38,6,85,17,5,2,2
57,775.0,42,20,2,2.4452316599779484,3875.0,5,1.9294217672318188,8.43769498715119e-17,17,8,10,0.0689202130929999,23,22,61,28,12,4,8
44,25.0,35,17,5,3.04766712506785,125.0,5,2.239358662515472,6.050715484207104e-17,24,14,3,0.0544875839284999,27,7,39,25,2,2,25
41,2125.0,34,16,2,3.3697448824419243,3000.0,5,2.22646945455316,3.3306690738754695e-17,26,16,2,-0.1058976890495,24,11,39,25,4,4,20
37,25.0,23,13,6,3.3921939218437824,3325.0,3,2.343215762934625,8.881784197001254e-18,18,11,3,0.0268205029009999,26,27,24,30,5,5,25
46,2100.0,31,12,6,2.99239927624563,4300.0,3,2.319954686791992,5.10702591327572e-17,21,16,8,0.077104511669,22,21,31,34,12,2,18
54,350.0,37,11,3,3.095502033703585,1800.0,4,1.9991427395557555,5.773159728050814e-17,21,10,8,-0.070184854814,22,23,42,29,10,1,17
49,350.0,36,14,5,3.1782659780790112,4425.0,5,2.063784692430401,1.7763568394002505e-17,21,10,9,-0.0470645033135,23,26,38,24,11,2,19
38,1025.0,29,11,5,3.436392160069281,150.0,6,2.442183325012315,1.0658141036401501e-16,20,17,3,0.0739876567054999,21,21,27,29,5,4,22
28,1025.0,31,10,6,3.57891519395186,3800.0,1,2.480141116439349,9.547918011776346e-17,19,19,1,0.0002695909405,24,26,21,26,6,3,17
49,4325.0,32,13,5,3.250573596156308,4250.0,3,2.623003420723081,1.1546319456101628e-16,20,10,2,0.0109011036424999,16,29,27,32,13,3,14
50,25.0,25,13,6,3.1682031819502776,1200.0,4,2.61957119030261,5.3290705182007506e-17,27,10,2,0.0809601296554999,22,28,35,30,7,7,15
44,25.0,27,11,3,3.244234698137123,3700.0,5,2.411854391260076,7.105427357601002e-17,24,13,2,-0.0925241259985,26,31,33,23,7,6,15
50,3550.0,39,12,4,3.1215259106315805,4300.0,5,2.687521309306685,6.576336697428075e-17,18,6,2,0.0312333903024999,20,24,49,22,22,9,16
60,25.0,40,14,8,2.96045668173668,4350.0,4,2.525420468497837,2.220446049250313e-18,23,6,7,0.0680525134355,26,27,44,27,9,5,12
61,25.0,35,10,7,3.10633029710635,3825.0,2,2.103013798476194,7.549516567451065e-17,21,9,7,-0.12269372957,29,31,27,24,8,2,15
50,2150.0,28,11,4,3.19351725315409,3675.0,6,2.5979532522005555,7.105427357601002e-17,16,8,5,0.025366636429,22,25,35,27,25,5,15
55,25.0,36,9,3,3.1811520495131966,2675.0,6,2.849071444121517,1.1102230246251563e-16,22,11,2,0.046298978929,22,23,35,29,9,6,14
57,25.0,33,12,3,3.138804910084333,4800.0,5,2.540312884177903,7.327471962526034e-17,20,8,2,-0.1268781061375,27,23,22,30,10,5,17
51,325.0,34,11,5,3.1293117608829037,4150.0,3,2.5801231063317625,6.217248937900877e-17,16,8,5,0.048173901581,25,25,25,30,20,4,17
55,325.0,32,10,6,3.317223762091013,4475.0,2,2.595127238744173,1.8651746813702632e-16,24,8,3,0.041680219243,21,26,31,26,24,5,16
55,25.0,23,13,4,3.3648290208767904,4850.0,5,2.494042519068421,8.65973959207622e-17,21,13,5,0.0095166890725,22,22,36,32,2,4,20
54,25.0,27,17,6,3.3606407906442377,3600.0,4,2.491193319900183,5.551115123125783e-18,28,15,6,0.05547886692,16,19,65,28,5,8,19
45,1050.0,34,12,3,3.2971775502399656,3425.0,4,2.3023707858046736,1.1324274851176594e-16,18,8,9,-0.1034217970494999,35,25,57,31,9,4,11
52,1050.0,35,12,5,3.172656474592568,3150.0,8,2.501673021484148,7.549516567451065e-17,16,6,5,0.062233260859,26,30,39,34,19,1,7
63,1050.0,34,10,2,3.138308832601849,3350.0,6,2.6537057786373768,2.942091015256665e-17,16,3,8,0.0582259225885,24,29,33,38,18,3,12
55,2450.0,34,14,3,3.30803606322935,4125.0,4,2.3679325279825134,6.439293542825906e-17,20,6,3,-0.161179291557,21,30,32,32,21,2,14
55,300.0,28,16,4,3.401628630334061,1025.0,3,2.519711029857644,6.661338147750939e-17,25,6,4,0.0264846087404999,19,31,51,28,24,6,13
63,350.0,30,13,3,3.2509709780077296,3150.0,3,2.680710347497427,8.881784197001254e-18,23,7,6,0.0946725090189999,21,27,45,36,15,7,6
56,2425.0,39,14,2,3.2990603511957066,1750.0,3,2.5395148204532623,1.3322676295501878e-16,27,8,6,-0.0551002620565,19,21,45,37,5,4,6
52,2825.0,34,15,2,3.4040559955172744,4600.0,7,2.4018671480624723,5.3845816694320085e-17,28,4,6,0.0076745613944999,22,24,44,41,6,2,10
56,4175.0,37,12,3,3.371374931187081,3425.0,6,2.3821900494841866,6.217248937900877e-17,20,7,5,-0.0475884929364999,17,31,39,29,22,5,10
57,25.0,33,15,3,3.3383620163962555,4225.0,5,2.553320296484084,1.7763568394002505e-17,20,7,7,0.0402103767515,22,19,38,36,4,6,20
62,1050.0,35,14,3,3.299971692522913,1625.0,3,2.2957591420815078,4.440892098500626e-18,22,8,13,0.0562116308884999,24,15,55,30,4,3,23
52,25.0,30,12,3,3.252062685371216,1300.0,4,2.3354551015748646,1.5765166949677222e-16,26,11,12,-0.1301993550330001,26,12,52,39,3,2,15
47,25.0,35,21,4,3.287442804909758,3300.0,6,2.776967049484178,1.1546319456101628e-16,20,8,9,0.067723997489,23,21,50,31,10,4,13
61,25.0,33,13,3,3.30671770396392,3375.0,3,2.603609290159228,3.1086244689504386e-17,23,8,0,0.0828132381734999,19,24,32,26,12,5,15
53,1100.0,34,16,1,3.412230128834133,950.0,6,2.373380904075824,1.5543122344752193e-17,25,8,1,-0.1410506069075,19,24,35,24,25,3,5
49,4550.0,41,13,5,3.405508004723236,3175.0,5,2.5963074619461657,8.548717289613706e-17,27,4,3,0.0172253709534999,23,24,27,29,8,1,14
59,725.0,48,11,1,3.3570862846560297,4225.0,6,2.5255406010505337,6.217248937900877e-17,18,4,6,0.0819851492715,25,19,16,37,7,1,17
57,25.0,37,12,3,3.34380636863273,4850.0,2,2.414923875954508,8.43769498715119e-17,16,6,3,-0.0923041536109999,19,30,24,42,15,2,16
50,3150.0,33,12,2,3.248391151529733,3525.0,4,2.668396295873816,0.0,19,7,2,0.0526685316759999,21,31,23,39,19,4,12
67,2100.0,35,13,3,3.3135572437870016,1350.0,5,2.719734596854539,4.440892098500626e-18,19,6,2,0.0064893663789999,17,36,25,27,20,3,11
62,675.0,29,16,3,3.3988402040663583,3750.0,6,2.687347824448364,1.0436096431476471e-16,21,6,3,-0.0032556506575,11,31,23,27,26,2,17
58,2375.0,25,13,3,3.464645775137488,4725.0,5,2.5923892551678875,9.325873406851316e-17,21,8,3,0.0469160509015,15,25,22,34,29,2,14
63,1300.0,26,17,5,3.578035715390244,1600.0,5,2.5068673324022988,5.440092820663267e-17,20,8,4,0.0289446483245,21,26,29,38,23,1,13
65,2075.0,35,16,6,3.506105282670969,3225.0,4,2.472128651576663,1.2601031329495527e-16,16,8,2,0.0088168539655,24,28,33,28,15,4,21
60,2825.0,36,12,4,3.309906890186769,4725.0,3,2.2751329972642367,1.3322676295501878e-17,23,10,2,-0.1382898515565,23,28,28,32,5,3,14
58,25.0,37,13,6,3.3510273161201787,4225.0,3,2.263157637455351,6.994405055138485e-17,27,9,3,0.0461940012534999,19,32,22,25,11,2,12
64,25.0,37,14,6,3.209001063127018,1050.0,6,2.056333381011502,6.550315845288423e-17,15,7,4,0.0782284084055,22,20,39,22,16,3,24
69,1125.0,30,13,4,3.1108787247233143,3225.0,5,1.947629302642148,5.10702591327572e-17,14,5,7,-0.095098707058,22,24,47,28,13,2,24
60,3550.0,33,15,7,3.190538164203713,4250.0,3,2.5372644667884514,6.88338275267597e-17,13,5,4,0.0548204812625,23,27,42,34,20,2,22
53,25.0,30,13,5,3.317056715763453,3700.0,4,2.677314402956986,1.6764367671839864e-16,26,5,4,0.0653302695114999,27,31,43,29,8,4,14
53,25.0,24,12,5,3.428698579163103,2700.0,4,2.53594729090179,5.10702591327572e-17,20,8,2,-0.104741360918,33,32,46,27,10,4,17
64,1450.0,24,16,6,3.393484731835421,3850.0,6,2.58412476568642,2.6645352591003762e-17,15,7,3,0.0636753653315,25,23,35,30,25,3,17
