6,0,y_abs_diff,7,z_abs_diff,15,x_tm_peaks,1,x_abs_diff,21,25,y_mean,26,z_tm_peaks,9,10,11,19,8,22,2
41,2,1.2212453270876722e-17,7,1.2212453270876722e-17,2,25.0,0,1.2212453270876722e-17,4,1,-0.016645132667,0,175.0,1,8,13,2,3,44,6
60,2,2.886579864025407e-17,34,2.886579864025407e-17,28,25.0,1,2.886579864025407e-17,23,35,0.011701426915,14,25.0,5,5,11,1,13,9,6
48,1,7.494005416219807e-17,42,7.494005416219807e-17,28,3950.0,2,7.494005416219807e-17,12,33,0.0178231163279999,15,25.0,8,10,12,2,24,26,7
58,4,4.218847493575595e-17,27,4.218847493575595e-17,4,25.0,1,4.218847493575595e-17,9,37,-0.0253260704454999,13,2250.0,3,18,47,2,15,22,10
54,6,2.4424906541753444e-17,30,2.4424906541753444e-17,5,2175.0,4,2.4424906541753444e-17,20,34,-0.0249671310424999,12,1775.0,7,11,35,2,18,19,13
44,7,1.8596235662471373e-17,28,1.8596235662471373e-17,13,2200.0,6,1.8596235662471373e-17,23,17,0.0785353881035,18,3250.0,9,11,22,4,19,14,10
40,5,2.220446049250313e-18,29,2.220446049250313e-18,11,3250.0,5,2.220446049250313e-18,19,22,0.0436883716299999,13,2175.0,6,14,27,4,18,13,12
44,6,2.220446049250313e-17,28,2.220446049250313e-17,14,3300.0,5,2.220446049250313e-17,13,17,-0.1174069224889999,17,3975.0,2,9,22,2,21,17,12
46,5,7.660538869913581e-17,25,7.660538869913581e-17,12,1125.0,6,7.660538869913581e-17,20,25,-0.0414946899814999,20,4325.0,5,11,18,2,18,24,12
41,6,6.217248937900877e-17,25,6.217248937900877e-17,23,1125.0,5,6.217248937900877e-17,21,30,0.0959369548534999,20,3225.0,7,5,8,2,12,25,12
48,6,8.999745393367676e-17,36,8.999745393367676e-17,13,1075.0,2,8.999745393367676e-17,20,20,0.0108834593825,16,4275.0,9,7,27,2,15,17,10
47,8,4.218847493575595e-17,32,4.218847493575595e-17,53,2200.0,3,4.218847493575595e-17,17,23,-0.0481378555449999,17,3250.0,10,6,16,6,31,13,12
47,2,7.993605777301127e-17,35,7.993605777301127e-17,44,25.0,8,7.993605777301127e-17,13,34,-0.0062857939569999,21,4425.0,8,4,16,3,22,29,4
38,4,2.775557561562892e-17,38,2.775557561562892e-17,39,25.0,4,2.775557561562892e-17,12,31,0.055854775547,20,4750.0,7,3,16,3,19,26,4
56,4,7.827072323607353e-17,36,7.827072323607353e-17,13,1100.0,5,7.827072323607353e-17,17,32,0.0207410569079999,18,3350.0,7,10,26,3,10,21,6
68,4,8.881784197001253e-17,31,8.881784197001253e-17,29,1100.0,7,8.881784197001253e-17,6,52,-0.1228016914245,25,4025.0,7,5,3,3,10,28,10
52,9,3.219646771412954e-17,25,3.219646771412954e-17,64,1150.0,1,3.219646771412954e-17,6,55,-0.0322644059489999,21,3350.0,4,4,4,6,9,34,15
52,7,5.405398351143731e-17,22,5.405398351143731e-17,30,2275.0,2,5.405398351143731e-17,23,21,0.0164657205069999,11,4550.0,3,4,11,4,9,23,14
50,5,6.217248937900877e-17,28,6.217248937900877e-17,60,4725.0,4,6.217248937900877e-17,14,33,0.0257085435484999,14,4725.0,3,7,5,9,9,20,14
36,6,8.604228440844962e-17,23,8.604228440844962e-17,45,25.0,8,8.604228440844962e-17,13,47,0.1068817620229999,15,2150.0,1,9,5,12,9,25,11
32,7,6.661338147750939e-17,27,6.661338147750939e-17,55,1125.0,3,6.661338147750939e-17,28,23,0.0073513726464999,13,3375.0,3,6,8,14,9,15,13
44,7,5.3290705182007506e-17,30,5.3290705182007506e-17,31,25.0,8,5.3290705182007506e-17,27,23,-0.0610050160514999,13,4075.0,3,8,5,2,6,20,9
40,3,6.439293542825906e-17,39,6.439293542825906e-17,32,2250.0,6,6.439293542825906e-17,5,51,-0.0356459881205,27,4425.0,8,7,6,2,28,29,6
33,1,7.771561172376094e-17,38,7.771561172376094e-17,54,25.0,6,7.771561172376094e-17,15,43,0.0158464126064999,13,4525.0,9,2,6,7,14,29,6
41,6,7.993605777301127e-17,21,7.993605777301127e-17,54,2300.0,4,7.993605777301127e-17,24,14,0.0554631050729999,7,4500.0,7,2,4,10,10,13,11
47,8,4.6629367034256567e-17,30,4.6629367034256567e-17,42,1125.0,0,4.6629367034256567e-17,17,19,0.004280777175,8,1125.0,5,3,12,12,6,28,12
33,8,8.43769498715119e-17,43,8.43769498715119e-17,50,2300.0,4,8.43769498715119e-17,4,48,-0.0522982445729999,22,3375.0,6,3,6,7,25,30,5
