9,16,21,22,x_tm_peaks,mean_res_accel,15,10,25,23,x_abs_diff,3,17,13,2,z_tm_peaks,24,6,26,y_abs_diff,z_std
2,10,8,30,25.0,2.5349707503371404,16,1,22,60,3.552713678800501e-17,18,4,66,6,2350.0,57,14,9,3.552713678800501e-17,2.3108566963164665
3,67,17,21,25.0,3.781680744312753,67,1,28,47,9.992007221626408e-18,15,24,1,5,4950.0,62,53,10,9.992007221626408e-18,2.5314936133334123
9,61,16,16,275.0,3.9047903622007274,39,1,30,38,5.440092820663267e-17,8,55,5,8,2650.0,76,35,6,5.440092820663267e-17,2.5699567735309703
11,34,9,9,2700.0,3.225469297981139,39,4,72,8,2.6645352591003762e-17,8,28,22,6,2775.0,17,46,42,2.6645352591003762e-17,2.252987019685982
4,25,15,10,25.0,3.07996994616952,57,2,43,15,1.5543122344752193e-17,6,22,21,3,4150.0,92,74,11,1.5543122344752193e-17,2.206071386798823
7,19,19,13,2475.0,3.678088498933544,31,5,50,16,2.8310687127941486e-17,10,13,40,5,2450.0,73,64,11,2.8310687127941486e-17,2.5811577476488634
11,18,17,14,825.0,4.41740239732725,37,8,10,67,3.552713678800501e-17,15,18,37,11,3550.0,59,53,6,3.552713678800501e-17,3.163891169138892
5,24,22,11,25.0,4.592308207704441,38,5,18,43,2.220446049250313e-17,18,18,38,16,3600.0,78,46,9,2.220446049250313e-17,3.244893756224127
7,26,19,14,2425.0,4.4206217346728,28,5,53,26,1.0436096431476471e-16,22,23,33,17,3525.0,58,44,13,1.0436096431476471e-16,2.959909334890127
5,35,20,14,1225.0,3.938645712174311,26,5,38,42,1.021405182655144e-16,22,21,31,11,3650.0,63,41,10,1.021405182655144e-16,2.6706023492192883
14,34,18,10,3850.0,3.5976230160044964,30,10,56,16,0.0,20,10,30,9,25.0,38,38,37,0.0,2.4766004750800894
14,25,18,12,425.0,4.119449400412848,32,8,54,19,1.1546319456101628e-16,16,13,25,10,1175.0,61,44,15,1.1546319456101628e-16,2.946499279384447
7,20,19,11,425.0,4.412737397287567,30,7,59,20,8.881784197001253e-17,19,10,30,11,1075.0,55,51,14,8.881784197001253e-17,2.9875699421033977
7,16,13,19,3050.0,4.675877224003144,34,3,47,28,1.4654943925052067e-16,16,10,36,9,4425.0,55,47,16,1.4654943925052067e-16,3.1441810733016244
4,15,17,15,25.0,4.689591769588935,39,2,24,29,4.6629367034256567e-17,8,6,32,7,2625.0,78,48,16,4.6629367034256567e-17,3.6577219537526906
8,35,21,15,25.0,4.938455286832935,34,2,16,36,1.0658141036401501e-16,8,31,23,6,3775.0,82,44,6,1.0658141036401501e-16,4.118887011069772
7,27,22,16,25.0,4.82977038069754,35,4,19,42,7.549516567451065e-17,10,31,23,8,3650.0,78,43,5,7.549516567451065e-17,3.8593538778251935
4,28,12,24,600.0,4.800403792564184,38,3,34,15,5.3290705182007506e-17,12,25,21,2,4400.0,91,47,13,5.3290705182007506e-17,3.78095273507971
10,20,23,19,400.0,5.401086381921776,37,4,34,15,2.3869795029440865e-17,13,25,29,3,3525.0,84,39,9,2.3869795029440865e-17,4.341999683709893
9,27,16,21,25.0,5.032985188049042,38,3,13,42,6.439293542825906e-17,18,20,26,11,3525.0,66,41,9,6.439293542825906e-17,4.157525757879023
12,22,21,19,2425.0,4.454936862043955,35,2,10,54,2.6645352591003762e-17,18,28,26,6,4725.0,65,38,9,2.6645352591003762e-17,3.605401338509841
6,29,20,15,800.0,4.39416882969609,17,8,46,18,8.215650382226157e-17,16,26,29,21,2375.0,64,48,12,8.215650382226157e-17,3.4634262960074804
8,26,18,11,800.0,4.430999577654331,16,13,46,20,4.440892098500626e-17,15,32,24,15,3625.0,64,44,15,4.440892098500626e-17,3.5403909850734845
10,31,11,12,1175.0,4.488934324079968,27,2,37,24,1.3322676295501878e-17,15,40,22,8,2425.0,68,42,16,1.3322676295501878e-17,3.420184918824222
13,33,13,11,2875.0,4.327088343270533,26,2,51,15,1.27675647831893e-16,17,38,22,5,1175.0,56,43,22,1.27675647831893e-16,3.2015121358150296
10,20,11,13,450.0,3.9365391632042015,24,13,52,15,6.661338147750939e-17,13,16,32,8,3650.0,61,52,14,6.661338147750939e-17,2.9591767520388483
17,21,19,10,825.0,3.885459274444729,35,1,64,12,2.220446049250313e-17,13,15,37,6,3675.0,47,43,17,2.220446049250313e-17,2.9973313934307573
19,27,18,12,425.0,4.0767644198136415,29,2,69,12,2.6645352591003762e-17,16,33,30,12,1175.0,47,35,15,2.6645352591003762e-17,3.147904492447326
21,22,19,12,425.0,4.138812281525642,26,2,74,12,4.440892098500626e-18,17,28,16,13,3675.0,44,27,14,4.440892098500626e-18,3.110274940615466
10,25,22,12,25.0,4.09680340201469,31,4,52,20,2.220446049250313e-18,20,24,14,12,2450.0,64,36,12,2.220446049250313e-18,3.096483220465596
10,27,21,13,25.0,4.147531877921149,36,4,48,18,5.578870698741411e-17,13,29,19,14,4975.0,70,38,10,5.578870698741411e-17,3.2280476181452173
