15,z_tm_peaks,25,9,0,18,10,23,4,1,11,21,y_abs_diff,z_abs_diff,x_abs_diff,3,17,y_tm_peaks,x_tm_peaks,19,27
39,625.0,31,3,2,4,2,45,20,1,3,11,3.0531133177191805e-18,3.0531133177191805e-18,3.0531133177191805e-18,7,5,2550.0,125.0,3,2
6,2275.0,16,1,2,1,2,56,66,6,43,24,3.4416913763379846e-17,3.4416913763379846e-17,3.4416913763379846e-17,52,2,25.0,25.0,1,6
3,2250.0,11,1,9,2,4,53,51,23,41,23,5.551115123125783e-18,5.551115123125783e-18,5.551115123125783e-18,48,3,2300.0,25.0,4,6
5,4425.0,19,5,3,5,15,49,33,13,44,8,4.24313362223927e-17,4.24313362223927e-17,4.24313362223927e-17,48,5,4500.0,4500.0,1,5
3,3350.0,34,4,8,3,22,44,40,12,63,15,4.187622471008013e-17,4.187622471008013e-17,4.187622471008013e-17,40,5,1125.0,2300.0,2,7
4,3225.0,7,2,12,5,26,58,43,17,67,19,1.5543122344752193e-17,1.5543122344752193e-17,1.5543122344752193e-17,27,2,2175.0,1125.0,2,4
10,3875.0,3,6,13,5,26,49,29,12,55,18,8.215650382226157e-17,8.215650382226157e-17,8.215650382226157e-17,28,2,2175.0,1100.0,3,3
15,2200.0,5,9,9,4,19,49,39,10,52,24,3.837208328860698e-17,3.837208328860698e-17,3.837208328860698e-17,15,2,4400.0,700.0,6,3
9,1100.0,19,1,3,3,18,48,56,12,43,23,2.1094237467877975e-17,2.1094237467877975e-17,2.1094237467877975e-17,41,2,4350.0,25.0,7,2
9,4625.0,27,1,3,3,7,38,44,14,31,22,2.775557561562892e-17,2.775557561562892e-17,2.775557561562892e-17,40,3,1075.0,25.0,1,1
4,4200.0,28,12,13,1,17,30,38,11,36,27,1.6792123247455492e-17,1.6792123247455492e-17,1.6792123247455492e-17,24,3,3475.0,1175.0,1,3
6,2225.0,4,5,4,1,15,57,38,16,45,18,4.773959005888173e-17,4.773959005888173e-17,4.773959005888173e-17,30,5,4300.0,600.0,1,3
20,4275.0,5,5,6,5,6,57,49,17,32,13,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,29,5,4300.0,25.0,5,4
9,3725.0,19,5,6,4,10,48,51,19,44,30,8.1601392309949e-17,8.1601392309949e-17,8.1601392309949e-17,27,2,2100.0,25.0,3,1
8,4300.0,17,4,8,4,11,51,46,16,41,35,1.5543122344752193e-17,1.5543122344752193e-17,1.5543122344752193e-17,24,3,3700.0,1100.0,6,2
5,2175.0,8,5,11,5,10,55,42,18,43,14,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,24,4,4325.0,475.0,4,3
9,1575.0,7,4,10,5,10,48,43,11,21,17,1.4988010832439614e-17,1.4988010832439614e-17,1.4988010832439614e-17,34,3,1700.0,1100.0,2,3
23,4400.0,12,2,9,3,13,42,45,12,22,19,7.993605777301127e-17,7.993605777301127e-17,7.993605777301127e-17,27,5,4250.0,1100.0,7,3
9,1075.0,7,5,4,6,9,50,48,15,30,16,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,17,3,3575.0,450.0,4,1
13,500.0,19,6,6,3,11,47,45,17,23,14,2.0539125955565402e-17,2.0539125955565402e-17,2.0539125955565402e-17,26,3,1575.0,2100.0,5,2
20,3200.0,27,1,8,2,13,39,37,19,22,15,1.4432899320127036e-17,1.4432899320127036e-17,1.4432899320127036e-17,50,4,4650.0,3650.0,8,4
12,2125.0,29,1,8,5,7,42,37,20,34,17,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,48,3,2200.0,2150.0,5,3
11,2825.0,15,5,3,5,13,48,46,7,37,18,2.331468351712829e-17,2.331468351712829e-17,2.331468351712829e-17,18,4,3850.0,600.0,1,4
4,4450.0,14,4,1,5,12,35,55,3,31,19,2.4980018054066026e-17,2.4980018054066026e-17,2.4980018054066026e-17,18,3,4875.0,3350.0,2,3
2,1125.0,5,1,8,6,9,54,37,13,22,14,3.7886360715333467e-17,3.7886360715333467e-17,3.7886360715333467e-17,58,1,4450.0,2700.0,3,2
14,3825.0,3,1,16,4,9,55,48,14,22,14,1.1102230246251566e-17,1.1102230246251566e-17,1.1102230246251566e-17,30,3,3275.0,1725.0,4,1
