y_tm_peaks,y_std,z_abs_diff,22,9,x_abs_diff,18,1,y_abs_diff,4,24,7,z_std,mean_res_accel,x_tm_peaks,z_mean,19,23,6,0,10
25.0,1.2546181415590538,3.9968028886505634e-17,11,2,3.9968028886505634e-17,3,6,3.9968028886505634e-17,45,79,9,1.5537311172028678,1.9832405106902264,25.0,0.0353548804924999,2,22,27,1,2
1025.0,1.7220941525881714,1.7763568394002505e-17,24,3,1.7763568394002505e-17,8,11,1.7763568394002505e-17,54,41,5,3.0635925790414245,3.842865436273852,1025.0,0.0262717803544999,3,79,19,4,5
3325.0,2.3102261200721177,1.2434497875801754e-16,24,6,1.2434497875801754e-16,2,17,1.2434497875801754e-16,27,56,12,4.039635100538645,5.401177369574785,2000.0,0.027678604591,2,17,28,10,12
50.0,2.474574123043567,4.884981308350689e-17,16,9,4.884981308350689e-17,2,26,4.884981308350689e-17,22,54,21,4.233532846582652,5.830941975603339,25.0,-0.0230053014614999,2,17,33,8,11
3050.0,2.2704800359919446,5.1625370645069776e-17,8,10,5.1625370645069776e-17,18,19,5.1625370645069776e-17,19,64,27,3.861712532523021,5.714741926657754,1000.0,0.013849711095,8,41,37,5,1
25.0,2.148966392500045,1.021405182655144e-16,12,5,1.021405182655144e-16,17,17,1.021405182655144e-16,20,54,17,3.822697096981771,5.5681788021129455,3900.0,-0.0058496244465,7,34,40,6,1
825.0,2.0600292228815604,1.5987211554602254e-16,12,4,1.5987211554602254e-16,17,14,1.5987211554602254e-16,21,56,17,4.207999267281292,5.641071942062064,1900.0,-0.2007549946645,17,25,32,10,3
4175.0,2.1999947005013185,7.993605777301127e-17,18,8,7.993605777301127e-17,15,21,7.993605777301127e-17,21,61,19,4.066331524416426,5.69452355850905,975.0,0.001242498472,4,17,36,9,8
975.0,2.2561332523398856,1.4654943925052067e-16,11,7,1.4654943925052067e-16,15,27,1.4654943925052067e-16,21,67,20,4.091418724420835,5.928936274303819,3900.0,0.1855276037924997,6,25,32,10,7
4175.0,2.284067235417085,1.8207657603852566e-16,11,3,1.8207657603852566e-16,22,31,1.8207657603852566e-16,17,56,15,3.837426657648225,5.8415217978585465,950.0,0.064914062893,7,31,37,26,11
25.0,2.2297418291847344,6.217248937900877e-17,11,4,6.217248937900877e-17,19,27,6.217248937900877e-17,20,57,22,4.038477295334191,5.903537625142018,2875.0,-0.0561109739975,4,18,30,23,8
