25,mean_res_accel,24,3,17,9,10,23,22,19,5,x_std,4,y_std,z_abs_diff,z_mean,y_abs_diff,21,y_tm_peaks,12,7
25,2.277508699833773,71,13,3,1,2,50,15,2,80,1.4388765353631323,22,1.2890308929216867,8.881784197001254e-18,0.0172702006365,8.881784197001254e-18,17,275.0,5,19
35,2.985363690900836,72,17,45,2,3,26,19,13,49,1.703053044419072,48,1.3496445852186727,1.3322676295501878e-17,0.010210471518,1.3322676295501878e-17,11,925.0,5,27
34,3.3234281086636432,62,39,48,3,4,36,21,16,27,1.8246534948634712,38,1.4323839966083167,3.3306690738754695e-17,0.018016995831,3.3306690738754695e-17,20,3300.0,2,21
24,3.0373218251995198,50,32,55,1,3,54,22,12,43,1.5757604801756957,41,1.3058297743244074,9.506284648352905e-18,-0.0667475415575,9.506284648352905e-18,20,4900.0,4,17
26,2.7095562106386155,63,23,57,2,3,41,19,6,40,1.2728822781587406,33,1.2154042386923103,1.6653345369377347e-17,-0.0187851372859999,1.6653345369377347e-17,16,3600.0,3,20
30,2.792659159949884,59,18,56,2,4,44,18,12,36,1.454715915704336,40,1.2184168862523126,8.881784197001254e-18,0.0800711248335001,8.881784197001254e-18,16,100.0,5,27
25,3.096098927289446,54,17,56,3,5,45,17,21,33,1.593763449782221,45,1.3395912881869183,5.88418203051333e-17,0.0083404815299999,5.88418203051333e-17,21,525.0,3,31
24,3.2034194393675564,62,16,47,9,2,34,22,35,34,1.5096252463116335,30,1.364442761777711,4.218847493575595e-17,-0.029582902656,4.218847493575595e-17,24,1875.0,1,24
30,3.2177846540630592,59,14,65,7,3,28,23,24,38,1.3022313047958922,31,1.3694888785370982,4.1078251911130785e-17,0.0187646978365,4.1078251911130785e-17,23,3800.0,5,28
51,3.172604450221255,46,20,67,5,5,26,16,27,36,1.212114280580143,46,1.3907655777013612,1.0998146837692957e-17,0.0080321863059999,1.0998146837692957e-17,20,1950.0,6,15
43,3.055452371651192,59,17,56,14,4,27,17,11,36,1.2555422202701851,31,1.283455310476341,1.7763568394002505e-17,0.007001009448,1.7763568394002505e-17,16,4650.0,4,15
35,3.1035751111044574,60,21,59,7,1,30,18,15,40,1.2753892245589924,27,1.277845110678871,1.4432899320127036e-17,-0.0288024327969999,1.4432899320127036e-17,15,450.0,3,21
39,3.0847564927073265,56,21,62,2,2,29,18,21,47,1.1784905294143897,49,1.3395103176853904,6.106226635438361e-18,-0.026395040032,6.106226635438361e-18,15,4575.0,2,13
43,2.990991301288896,58,13,55,3,2,27,14,2,57,1.3314171582402172,28,1.4699269198062692,4.440892098500626e-18,0.0603070040424999,4.440892098500626e-18,16,375.0,3,22
56,2.8007327368235284,48,17,39,3,2,20,17,2,38,1.4169923360502,36,1.390346587250167,0.0,-0.0350247894229999,0.0,10,575.0,3,28
48,2.7642073935263536,49,34,25,5,2,24,10,6,35,1.4294965660095988,39,1.0401547636589834,3.885780586188048e-17,0.001499370637,3.885780586188048e-17,17,4975.0,9,22
58,2.952394411101587,34,43,23,4,2,20,9,5,21,1.5544798538835485,50,0.976980032908745,3.774758283725533e-17,0.072546456154,3.774758283725533e-17,15,4825.0,10,4
56,3.125197750928949,41,50,45,4,1,20,15,6,26,1.4962253484052557,50,1.0249784724756603,1.0547118733938989e-17,-0.0211589344609999,1.0547118733938989e-17,15,3525.0,7,8
52,3.283906043268853,38,34,35,5,3,24,13,8,36,1.483336356432191,50,1.196063896064934,2.220446049250313e-18,-0.066036547568,2.220446049250313e-18,16,500.0,8,23
55,3.1876497396426697,38,38,36,4,4,25,12,5,32,1.5147390898075586,45,1.2411562449269251,3.885780586188048e-17,-0.0013928890049999,3.885780586188048e-17,16,3350.0,6,18
52,3.172512658249267,45,26,44,2,5,29,12,16,36,1.5319419792087816,43,1.2075164741181166,1.5543122344752193e-17,0.061519462821,1.5543122344752193e-17,15,4200.0,3,20
44,3.195291680444608,52,28,53,3,1,23,16,15,35,1.5098689893007045,47,1.2445905708243357,1.7763568394002505e-17,-0.0658694810025,1.7763568394002505e-17,16,1300.0,3,20
43,3.143050472773583,52,75,58,1,1,20,17,9,31,1.593063514840223,32,1.1412058024689953,8.881784197001254e-18,-0.0345386567809999,8.881784197001254e-18,20,3825.0,3,5
54,3.184558664291928,42,55,43,2,4,21,18,6,41,1.7866858042254503,45,1.2177925310328284,4.440892098500626e-18,0.065959751692,4.440892098500626e-18,14,4325.0,5,2
33,3.37149752142389,59,37,57,1,1,33,19,10,41,2.018258786611226,46,1.3562484112053148,3.1086244689504386e-17,0.0340216066065,3.1086244689504386e-17,18,25.0,4,2
