12,26,6,14,x_abs_diff,mean_res_accel,21,25,x_std,27,y_tm_peaks,22,20,x_tm_peaks,z_mean,16,18,2,8,4,15
6,3,59,94,2.4424906541753444e-17,3.810374913733892,10,17,2.809444631277403,5,125.0,22,13,325.0,0.0081597964069998,4,4,6,13,19,46
5,1,33,68,3.1086244689504386e-17,5.491510249940759,15,27,3.9203012015922414,7,2300.0,22,20,725.0,0.0056256519529999,20,3,13,13,42,59
6,3,36,68,8.43769498715119e-17,5.931684508184796,14,26,4.310490486780405,4,4325.0,22,27,4275.0,-0.0091660167039999,25,6,14,13,30,40
43,9,43,30,4.773959005888173e-17,6.027566148500154,17,33,4.469049507258394,2,1050.0,16,21,2075.0,0.0549643057304999,17,5,13,13,24,9
35,14,33,44,1.9539925233402755e-16,6.089060527035022,17,35,4.55028666850694,5,25.0,14,21,25.0,-0.0633283871985001,7,5,19,7,26,13
35,17,33,41,1.9984014443252817e-17,6.081363152362326,17,39,4.482544421707999,4,1025.0,16,20,25.0,-0.0443878218194999,11,11,21,7,29,12
45,19,29,36,8.881784197001253e-17,5.863532615879094,13,38,4.506451454978872,3,25.0,14,22,1050.0,0.0772171392309999,18,8,18,7,30,16
14,19,31,37,2.1094237467877975e-17,5.9898889470567385,15,37,4.592459384674004,3,4225.0,14,22,1050.0,0.0229094410199999,22,13,15,6,31,40
18,12,37,45,9.325873406851316e-17,5.974959518869167,18,44,4.511412774013028,3,4325.0,15,16,25.0,0.0293319413994999,23,16,19,6,34,49
26,15,40,49,5.939693181744588e-17,6.107811558131566,17,50,4.567111749193194,4,25.0,16,15,25.0,-0.0054306998199999,12,6,17,3,26,25
28,21,33,42,4.884981308350689e-17,6.162502744466991,21,45,4.598352187189113,9,3150.0,17,9,4175.0,-0.047873707302,9,10,14,8,23,28
30,16,36,50,1.1546319456101628e-16,5.969637189423889,18,44,4.596668092332895,5,4175.0,11,18,1000.0,-0.070883057861,7,11,13,16,23,21
52,14,43,20,7.105427357601002e-17,5.966273853767246,20,44,4.39466370572164,4,4350.0,13,19,25.0,-0.0191595757829999,10,9,18,14,26,3
47,10,33,21,4.440892098500626e-17,5.804163204053051,16,37,4.296971765913223,3,2100.0,14,21,1050.0,0.1030122812605,10,9,20,25,22,8
48,31,37,25,1.1546319456101628e-16,5.860289575982302,22,57,4.486658948192187,5,3150.0,16,3,2075.0,0.015578496427,9,4,18,27,23,9
49,29,42,21,2.4424906541753444e-17,6.07770022995321,23,53,4.647510342786862,9,4200.0,19,3,1050.0,-0.054744696096,9,12,15,11,28,4
31,11,38,33,1.376676550535194e-16,6.071624344089416,16,45,4.750977245324224,3,4200.0,15,23,1050.0,0.0054033464189999,9,13,14,17,26,10
44,12,39,42,1.3322676295501878e-16,6.026706242168259,17,31,4.576531206680954,6,3200.0,14,25,4150.0,0.0096767830965,7,8,16,28,20,14
64,13,43,31,4.392319841173276e-17,5.8023147636909975,17,28,4.406410847894251,5,2250.0,9,23,2100.0,0.0326034006975,11,5,15,28,16,8
54,11,40,29,1.3655743202889423e-16,5.825165348756472,21,41,4.450266714253255,3,125.0,7,21,2100.0,-0.0825964565425,10,4,17,28,15,11
54,14,32,29,1.84297022087776e-16,6.082072738009293,21,41,4.422723740079077,4,4275.0,13,20,2775.0,-0.0398247329009999,9,2,16,27,15,23
52,15,33,31,8.881784197001253e-17,6.029386991193206,16,43,4.50768094800423,4,25.0,14,18,1050.0,0.141649659807,15,3,15,24,19,15
40,9,32,29,1.3877787807814457e-17,6.006195058803899,16,43,4.423837983141831,5,1175.0,13,23,2100.0,0.0298416417095,5,9,13,9,26,12
24,6,33,47,4.440892098500626e-17,5.880899356633424,24,49,4.2626344196068615,5,1125.0,15,14,2075.0,-0.0389329593995,9,15,12,9,33,22
23,12,34,48,3.9968028886505634e-17,6.052428797463552,23,45,4.421091910297665,6,3775.0,22,9,3175.0,-0.1806937377265,11,13,11,22,33,29
