z_min,16,3,rv_max,x_std,y_max,7,x_rms,11,6,y_min,1,25,z_std,2,0,z_mean,rv_std,x_signal_changes,29,14,y_rms,8,y_signal_changes,y_std,z_rms,z_max,13,26,31,5,34
-4.93410007224775,48,10,7.008011935701113,1.0936324177863157,2.1837528925619702,37,0.5980619539124602,2,65,-2.77090332193803,2,23,1.8140223582133757,8,2,-0.0031320942602495,1.291320009783619,30,2,38,0.3158521382230307,21,31,0.7941682724995213,1.6453434630562358,6.96115984055225,18,8,48,35,20
-5.9069402857477495,5,20,7.393826515517112,1.435327334152243,4.2744106128619705,47,1.030389392702829,14,34,-2.77090332193803,7,44,2.497740038265846,12,3,0.0306378653742503,1.3460282091512714,28,5,57,0.6884976763294813,29,28,1.1712356456508357,3.119821988775477,7.356168737652251,51,12,26,18,32
-6.23740723994775,6,26,7.686357355601937,1.4936552304767403,4.2744106128619705,5,1.1155039498565436,20,28,-2.74742630223803,15,42,2.5768169406496817,28,12,-0.0371583774357496,1.411135522753092,28,7,50,0.8723870142595854,1,34,1.3204367642387038,3.320683145316423,7.67105905085225,52,15,28,51,36
-6.23740723994775,2,30,8.401768701200917,1.5972676050766763,5.65176899526197,6,1.2761168693720226,17,23,-2.91129458513803,18,47,2.726335456080193,24,13,0.0767953176952504,1.5460884368772567,28,3,31,0.9428295270135556,4,45,1.3723944396832573,3.719401269949951,8.38651030525225,71,11,33,46,32
-5.0839558869477495,1,26,8.401768701200917,1.4001812626388228,5.65176899526197,8,0.9804126297134644,18,40,-2.91129458513803,12,28,2.877569748225562,14,8,-0.0377791078787496,1.5822360973631289,33,5,27,0.8239713543524556,3,47,1.2835025210226567,4.140917458447521,8.38651030525225,77,6,37,41,32
-4.92281609214775,5,18,8.4969442233863,1.1973774579804282,5.08069099646197,25,0.7171761691105971,20,30,-2.73625679913803,10,30,2.9534614567901216,9,10,-0.0509133073897497,1.5553313946776384,40,8,30,0.764286719134946,26,40,1.23559625280511,4.362763370807096,8.48183905335225,81,5,36,35,34
-4.92281609214775,4,12,8.918406584147862,1.2894439328618317,5.08069099646197,30,0.8314131191739865,24,37,-2.73625679913803,11,24,2.9173298893639266,14,3,0.0508056072392504,1.5955310471364206,39,6,28,0.8976763167660561,31,40,1.3397060182610048,4.256697446551547,8.89466363335225,78,3,36,35,26
-5.30783635694775,3,14,8.918406584147862,1.4088645417500776,4.78805104496197,29,0.9936280760358976,22,21,-2.49076745063803,8,29,2.784451108369096,8,8,0.0505956490017503,1.508391927329806,30,4,30,0.7068079269459543,38,38,1.187928804782486,3.877863947297896,8.89466363335225,69,3,45,32,25
-6.01210890074775,8,16,9.287864767681125,1.4272335683535335,4.04926367166197,32,1.0185232432637057,20,28,-2.49076745063803,10,45,2.9207862764114108,5,8,-0.0471665315327496,1.4834771432344345,27,4,36,0.6718346770296515,32,43,1.1586041586892692,4.266608577085031,9.244886498652251,62,4,42,18,30
-6.01210890074775,10,13,9.287864767681125,1.3450829033131382,4.04926367166197,35,0.9057161824473428,21,34,-2.5677189337380297,9,40,3.032592992706699,10,11,-0.0727557375742496,1.5328994534622509,32,6,41,0.7779386173887346,24,48,1.24640642258585,4.600956828381874,9.244886498652251,56,3,43,47,32
-5.36727051774775,9,13,8.485606973822298,1.4238147465094888,4.03437191576197,42,1.013690507763184,15,33,-2.5677189337380297,12,38,2.8611068243997373,15,4,0.0521417266007505,1.5241305611986005,28,6,43,0.7010957404248057,10,43,1.1836314994912498,4.0943255101398295,8.47912549295225,64,2,40,43,30
-6.3445037262477495,18,18,9.044199138784595,1.6415978458093985,3.2782320190619703,34,1.348781836608701,9,31,-3.12745765213803,14,49,2.8451096318552835,12,10,0.0889447906452504,1.5415514200203344,24,6,64,0.6990356124633605,19,37,1.1820283957697757,4.051279996529314,9.03047044015225,29,8,47,29,20
