x_min,22,rv_signal_changes,y_min,23,y_std,32,28,rv_min,z_std,z_rms,11,15,29,35,3,0,8,y_signal_changes,34,38,39,33,y_max,x_std,2,36,18,x_rms,z_mean,27,7
-6.700921596224108,7,0,-5.409805713438029,20,1.6851099701403522,45,4,0.0643715736623537,1.2273485631443548,0.7531956222628351,5,78,4,15,6,4,3,34,18,2,1,14,4.81654908546197,1.7930697429227924,6,6,7,1.6076644060139278,0.0025978978342504,21,8
-6.700921596224108,13,0,-5.409805713438029,37,1.72665213753897,41,5,0.4272601576166123,1.5918603026579627,1.2680572400220624,7,60,5,13,9,4,2,31,20,1,1,29,4.81654908546197,1.7858865629980942,5,4,6,1.5950790809807192,0.0457739758577503,15,6
-4.473217091724108,27,0,-3.75721314253803,55,1.1244864162461634,40,2,0.334536494419571,1.8306513561301403,1.6764147568287653,4,39,3,17,9,2,30,32,24,1,3,34,2.02715568346197,1.0789092594927951,2,5,25,0.5825671250899938,-0.0393080902157496,4,62
-4.473217091724108,44,0,-3.39835526933803,66,1.040163180139402,45,4,0.334536494419571,1.9241720897445984,1.8512372903934409,3,44,1,2,17,5,6,32,11,1,1,33,2.37521440656197,1.3662398348164555,4,4,22,0.93349772610284,-0.0060290824167495,1,21
-4.905524411824108,16,0,-3.39835526933803,45,1.252421773631761,36,5,0.3486843769320197,2.5492825969804667,3.2496045559506057,5,31,3,29,26,7,13,28,34,1,1,27,2.68663029496197,1.9096453477444897,10,9,13,1.8241085557531265,0.0191664455167504,12,21
-4.905524411824108,13,0,-3.72170227333803,20,1.4382249626255743,20,14,0.6602386655934245,2.935781671614385,4.311311955522952,6,23,5,36,20,9,15,26,26,6,3,28,2.88931772666197,2.1025632424804312,17,40,15,2.211332481140433,-0.0617242874317495,15,24
-4.434543353124108,12,0,-3.72170227333803,20,1.44840049270558,21,13,0.1598190282988082,3.0388956822838877,4.618201611820328,7,25,8,34,16,8,20,28,37,7,6,26,2.88931772666197,1.9982398127517944,15,31,13,1.996964646251875,-0.0389391298952495,12,25
-4.434543353124108,10,0,-2.66395123033803,33,1.4029935035210634,20,13,0.1598190282988082,3.2176554041922816,5.17671803824294,25,20,10,34,17,5,21,29,40,8,7,24,3.34280243366197,1.9860638565065816,15,28,13,1.973611619335831,-0.0113919426827495,11,20
-4.187151095024109,12,0,-3.22844418383803,18,1.5007290513876148,23,15,0.4010663489287244,3.079984719931176,4.744740420676158,16,31,9,30,22,12,21,27,39,7,5,25,3.71462348136197,2.0296269103637616,10,35,10,2.0603700681652795,0.0563468396877503,15,17
-4.187151095024109,13,0,-3.22844418383803,21,1.4785959149036196,19,12,0.4010663489287244,3.0893513255866227,4.773034696916081,16,30,8,30,16,8,25,27,39,7,4,30,3.71462348136197,1.9487730768403173,11,34,14,1.8995224015670664,-0.0444722489687496,17,18
-3.990582225024108,14,0,-2.66955729033803,27,1.356272167732701,20,15,0.2047506797555054,3.176930087844783,5.04644264995297,14,22,6,39,14,8,25,31,36,12,1,30,2.89898272946197,1.6963724522229484,13,32,10,1.4406511885334996,-0.0007189245337496,20,19
-4.103387379524109,14,0,-4.450375738638029,32,1.461631206447698,22,7,0.2047506797555054,2.9851239695083933,4.457144464433831,1,27,8,32,13,9,24,29,37,9,4,33,3.32239807976197,1.6789872244129571,11,39,20,1.4096028175781097,0.0576525414367504,23,25
-5.051847637724109,14,0,-4.450375738638029,34,1.6140986747949402,30,3,0.5401720603129495,2.908145829322691,4.233225809710902,1,30,10,29,16,4,17,28,29,10,8,31,4.237292546261971,2.003941644346727,16,29,7,2.011254969068815,0.0956004958922503,19,34
-5.051847637724109,12,0,-3.96466151093803,32,1.5318679129818202,24,11,0.5401720603129495,3.151812330767597,4.967314035673089,5,31,10,28,13,4,22,30,31,12,8,27,4.237292546261971,2.029594719195812,16,23,6,2.0599998733037226,0.0265914077757503,15,25
-4.996011214224108,17,0,-4.9006138533380295,24,1.5406205207323096,19,16,0.482876641892652,3.1899517570508475,5.095497734506414,0,31,6,35,15,1,23,28,27,3,6,30,4.3949020262619705,1.8017025234322368,13,29,6,1.6253742353825873,-0.1233014870187495,15,29
-5.778936120724108,13,0,-4.9006138533380295,21,1.452061772565845,13,14,0.482876641892652,3.033959404606517,4.6027501399007305,1,38,5,34,15,4,19,29,32,6,4,32,4.3949020262619705,2.1284811700214767,19,29,5,2.2652678503320063,-0.0243024896077496,14,30
-5.778936120724108,13,0,-3.04364702283803,31,1.2808499707256424,15,11,0.7688648310193975,3.194273358079421,5.101973296142523,7,27,10,36,11,3,27,31,38,9,5,24,2.77637745896197,2.34011182119149,17,31,23,2.7384390887228527,-0.0237551289002495,14,22
-5.097308465824108,17,0,-2.40937271883803,36,1.3422765703731043,18,7,0.5639242334682479,3.245655148330057,5.268251077013227,23,21,10,42,13,7,24,32,36,5,4,20,2.68721587056197,2.2284233559453406,15,40,22,2.483922001638453,0.0471679143597503,20,23
-5.503593021024108,12,0,-2.40937271883803,26,1.3291449385241834,17,11,0.4756625464485928,3.083320087152889,4.754706266043905,20,24,7,35,17,7,13,31,37,7,2,26,2.70067959176197,2.373363848625008,18,36,21,2.816498081724774,0.0504952695537503,16,26
-5.503593021024108,9,0,-2.61897144873803,34,1.2613470166813872,22,10,0.4756625464485928,3.120801328996357,4.870245521349832,13,31,8,37,22,6,17,29,38,9,4,21,2.70067959176197,2.455538408263974,23,28,17,3.017428267081487,0.0330167780717504,18,26
-4.813954880424109,15,0,-2.61897144873803,27,1.260364756022766,21,15,0.6123154421479928,3.2043044716945737,5.1342765678645,18,26,7,30,15,8,20,27,51,5,5,22,2.70083361986197,2.2294980057168505,18,32,16,2.4854396484688697,0.0314004523402503,20,21
-5.526027968324108,17,0,-3.00047441363803,27,1.407028287973024,19,9,0.556311725535704,3.338432635590159,5.575561715230856,13,28,6,45,16,5,19,29,38,7,3,25,3.11709552736197,2.293664793274206,13,26,10,2.630943277933674,-0.0774013442277496,19,25
-5.526027968324108,15,0,-3.00047441363803,31,1.4448614190039282,21,10,0.556311725535704,3.2322546878624228,5.223736847264617,18,30,6,49,18,7,22,28,37,6,4,26,3.11709552736197,2.408899324644155,17,25,12,2.902799888961568,0.0018240944652503,14,25
-5.0714480818241086,20,0,-3.0112889629380297,37,1.3864247678597277,23,4,0.3576885898972392,3.060802042821189,4.685423896129885,13,26,7,48,13,4,26,27,36,3,4,30,2.64087931656197,2.2064990370404223,13,33,24,2.434327568540147,-0.0483595587387496,16,21
-4.262621761624108,18,0,-3.0112889629380297,38,1.451956997544166,33,7,0.3576885898972392,3.167140493503019,5.015430470466305,14,24,6,46,14,9,28,28,46,4,3,26,2.45855140956197,1.9393641263453285,11,23,21,1.8842844208448368,-0.0090573365872496,20,24
-4.721250774924108,15,0,-2.98399883993803,44,1.495335379555211,36,8,0.4871192357572506,3.0293358559131907,4.589700266972908,18,18,5,43,18,2,27,28,43,5,2,32,2.91248884466197,1.9076113739270644,16,18,26,1.8195812054216485,0.0502474479402503,17,32
-5.614620148624108,13,0,-4.220022525738029,35,1.5853705658251396,33,11,0.4871192357572506,3.0059513310604045,4.520079151524859,9,28,6,43,13,3,24,28,36,5,5,33,2.96334202916197,2.0998058504273875,20,22,25,2.2068533770025165,0.0664447014132504,11,32
-5.614620148624108,13,0,-4.220022525738029,27,1.5735442054201418,27,14,0.309109547304039,3.1953332612609526,5.105662013073075,6,23,7,44,13,2,21,28,33,5,5,27,3.15830796296197,2.0850165309666724,19,34,16,2.173985326190157,0.0341961346587503,16,25
-3.926816422224108,16,0,-2.55713823053803,31,1.4334766184936036,23,12,0.309109547304039,3.105837462623521,4.828194729360889,43,28,7,38,17,17,16,28,34,2,6,18,3.15830796296197,1.9492666004647912,11,51,11,1.9002470891658405,-0.1008122734892495,18,22
-4.316861464624108,18,0,-3.01446258673803,38,1.5106737466903848,27,8,0.2597474228239643,2.7674153582683148,3.8303432761905034,14,23,3,38,22,6,20,26,44,2,3,30,3.06074109346197,1.8087536959282384,15,39,16,1.635796153392925,-0.0458125223237496,19,27
-5.211165757424109,17,0,-3.01446258673803,22,1.4208474614972668,32,14,0.2597474228239643,2.319680073445312,2.6908637899970063,19,30,6,28,21,3,10,31,52,5,2,35,2.92827322086197,1.7143137785707658,10,24,13,1.4698246435667308,0.0284945056942503,20,27
-5.211165757424109,11,0,-2.87792104773803,22,1.070981534277702,35,10,0.4307025773579033,2.2665399432303333,2.5688518347686577,13,45,3,21,21,2,19,38,45,4,2,35,3.15678021256197,1.8161018818929409,14,12,1,1.6491427969870918,0.0223686226387504,17,20
-3.613133090524108,15,0,-2.23679527413803,31,0.8256948639723954,26,13,0.4307025773579033,2.7595528272954613,3.808100957892017,8,45,6,21,25,13,17,40,45,6,3,36,3.15678021256197,1.9157348069670603,16,17,0,1.8377956875023644,0.0327125228262504,14,17
-3.935719861324108,11,0,-2.15750684613803,40,0.8198180244372099,33,11,0.6771599023168354,3.0284238498263933,4.585725617157285,8,45,7,26,31,11,18,41,29,7,2,38,1.97027964326197,1.995674981793356,21,24,9,1.991576872773508,-0.0100109998127495,15,19
-3.935719861324108,10,0,-2.47988509723803,37,0.8657100181991503,24,13,0.5054562868659541,2.981287112133272,4.44450926384605,7,48,8,30,30,14,17,43,33,8,2,38,1.99919721596197,2.156256524075033,24,23,14,2.3268182151659778,0.0307519547372503,6,16
-4.494320014924108,9,0,-2.47988509723803,23,0.8366451187316485,16,8,0.5054562868659541,3.0057427336438205,4.518359886309658,5,56,10,32,34,7,19,48,29,9,7,37,2.02639097086197,2.134773286759721,22,26,8,2.278634601234576,-0.0472270236907496,18,17
-4.494320014924108,16,0,-2.1879844078380297,28,0.8492926547595054,24,7,0.66564134927037,2.915562002986506,4.254269826487291,13,46,5,24,24,4,19,45,33,7,2,35,2.32880200716197,1.819177112391312,19,29,4,1.6567642571956387,-0.0896541115392495,24,17
