1,22,3,27,rv_max,y_std,z_rms,7,6,19,y_rms,5,z_min,x_min,rv_signal_changes,rv_rms,11,13,y_max,z_max,y_mean,21,39,16,9,8,z_signal_changes,x_signal_changes,38,37,2,x_max
0,6,1,14,5.7732587900385015,0.6319117096033221,0.9125581581418344,87,32,3,0.1997691243407425,22,-5.32834262864775,-4.779536291424108,0,1.6055137495024936,9,27,1.9712825499619704,4.41803046855225,0.0150279721749701,2,1,9,19,25,39,37,3,4,2,1.957699632075892
2,7,18,18,6.407748167200067,1.1189503295559575,1.2713071052685256,26,48,2,0.626420460903197,60,-5.32834262864775,-4.883988916724109,0,2.8509250758279427,5,31,3.99014475576197,3.9795617943522505,-0.0281261762955298,3,1,24,2,5,35,36,5,4,6,3.823537823175892
4,8,22,14,9.139263701276716,1.4951729268975575,2.7744275496659445,30,41,3,1.1195836830511656,51,-8.593632440547749,-4.902395137124108,0,5.318364255882419,12,44,4.464494038361971,7.24335802735225,-0.0602103377745298,4,1,20,4,13,31,34,2,4,9,3.823537823175892
9,15,15,6,10.12779683278066,1.6397644112537506,5.1768245791980005,38,30,3,1.34551353714766,24,-8.593632440547749,-6.383062814524108,0,8.939606855440092,27,49,5.91083789736197,9.81702915625225,-0.0469014912445298,17,4,10,10,45,31,25,2,7,7,3.735018120575892
10,9,16,4,10.224824185880417,1.948712823284507,5.936548731709564,33,27,9,1.901190231289409,19,-6.72358660804775,-6.607546268224108,0,11.06285144886221,41,37,5.966078506461971,9.87581202985225,0.0699913919374701,14,6,6,18,46,31,25,3,6,10,3.861464214075892
14,11,11,3,11.076671618816212,2.122366735965937,5.911325978172563,49,27,2,2.257234607800028,18,-6.966855388747749,-6.607546268224108,0,11.658134174239086,43,36,7.23749135406197,10.62657392075225,0.1001431658444701,14,2,6,14,35,32,25,4,5,9,4.165868560275892
11,10,18,3,11.180136682201296,2.018975605817409,5.647310639063502,40,33,3,2.0381665733858987,16,-7.00315395004775,-6.274379490624108,0,11.195881026946006,43,40,7.23749135406197,10.62657392075225,0.00840534865597,14,2,7,15,32,34,28,3,7,8,4.165868560275892
12,8,17,2,11.180136682201296,2.0122122095125983,5.331237573383401,35,30,6,2.0253986135671496,18,-7.770361349947749,-6.409539217424109,0,10.72209921308521,39,41,6.40746661966197,10.55450589715225,-0.0424175791710298,21,2,5,14,41,32,27,2,9,7,4.086587013975891
9,8,16,4,10.17357538988136,1.9527539839679844,5.755362584179985,34,30,6,1.908316097595801,20,-7.770361349947749,-6.409539217424109,0,11.0284875079058,35,41,5.960067359761971,9.77492167925225,-0.0581727882155298,17,5,7,17,37,29,25,5,9,10,4.086587013975891
10,8,15,4,10.17357538988136,1.8965273891248224,5.642235392620747,25,34,9,1.7984519898089857,21,-7.480088481747749,-6.073183066324108,0,10.801414518280142,23,54,5.50838891666197,9.77492167925225,-0.0093724018990298,15,4,10,20,36,29,26,3,12,14,3.935494096475892
10,11,17,3,10.344868146512406,1.9861263298341651,5.723498205367917,31,30,5,1.9725911780340384,21,-7.12191668464775,-6.0550572585241085,0,11.11537681984371,30,45,5.99748341026197,9.99788880815225,-0.0220126783365298,19,3,7,16,40,29,26,3,9,12,4.100874949575892
10,13,12,3,10.344868146512406,1.9229078115176712,6.161857733898372,31,24,4,1.8499760293454452,21,-7.44684680094775,-6.070838326124108,0,11.910525120773933,23,48,5.99748341026197,9.99788880815225,-0.0487607126200298,15,6,13,17,30,29,28,6,8,17,4.609409569575892
7,12,18,8,11.03336672048342,1.948367417115613,7.10197786670564,31,25,5,1.901576497701888,24,-9.92674232564775,-7.998959927224108,0,13.405160521982973,16,43,5.685985635261971,9.57971027335225,0.0837699428554701,13,5,10,25,38,31,28,10,10,11,4.609409569575892
12,13,16,5,11.03336672048342,1.951372740491728,6.815437029061197,47,37,5,1.9067674220200388,27,-9.92674232564775,-7.998959927224108,0,13.270297915725802,27,46,5.685985635261971,10.13255582775225,0.0753609428409701,15,5,7,3,15,31,29,8,8,15,6.238018630675891
14,10,18,1,10.870103636669848,1.8571319771598975,5.352695421025399,39,28,7,1.725095859166185,33,-7.18726952314775,-6.570981039324108,0,11.460564492394058,25,42,5.22868293426197,10.157847633852253,-0.0353912099615299,14,3,6,3,11,34,31,3,12,16,6.238018630675891
9,15,13,2,11.6766402927605,1.975694932584313,5.885586395233693,27,32,8,1.952537843364232,25,-8.05381999474775,-7.395464149724108,0,11.934905150949415,24,44,5.22868293426197,10.58686680915225,-0.0412943106145298,15,3,9,18,41,32,31,6,2,13,4.628027165675892
6,16,15,3,11.6766402927605,1.9273071388626652,6.34408063161788,41,46,7,1.857310953412758,35,-8.05381999474775,-8.31835979732411,0,12.694319629301406,23,55,5.31144350086197,10.58686680915225,-0.0104450617290298,14,2,13,2,8,29,32,4,8,16,6.637061804875891
6,14,21,7,9.924612479900691,1.602853654048481,5.539574478130594,34,50,2,1.284958139682585,40,-7.57923016014775,-8.31835979732411,0,10.648131647984728,16,62,5.31144350086197,9.42310937255225,0.0278647280374701,11,2,11,2,5,28,28,8,12,13,6.637061804875891
3,21,19,8,12.206656109499985,1.654806736842786,5.509269791381676,48,38,3,1.3697830845522732,30,-10.688155564447747,-8.48886847912411,0,10.269348981406536,18,56,5.601042712861971,9.82194187565225,0.03436324787147,4,1,12,3,26,28,26,2,3,6,5.539694190175892
