12,13,20,8,y_signal_changes,rv_signal_changes,18,x_max,rv_std,29,25,x_min,28,14,7,z_max,17,x_signal_changes,30,z_signal_changes,16,19,11,37,10,39,y_min,y_rms,4,5,1,38
0,0,9,0,40,0,20,6.408446723875891,1.20676663898213,6,32,-3.5457176524241083,6,2,1,3.77193424735225,78,42,56,30,83,5,0,0,2,3,-6.85912003883803,0.5497540020027804,36,10,8,0
1,3,12,0,41,0,4,6.408446723875891,1.3529942482976869,5,26,-6.057230338224108,11,29,5,4.62829292495225,26,38,30,32,56,3,1,1,2,4,-6.85912003883803,1.09335886852234,74,70,2,1
5,20,16,7,32,0,0,3.549067911075892,1.22100575490327,5,43,-6.057230338224108,7,47,47,4.62829292495225,20,34,22,29,28,3,1,2,1,1,-5.3287295411380295,0.8581410795252224,13,43,1,1
5,16,9,44,30,0,7,1.7000694805758918,0.948531323916428,8,37,-3.4044511322241084,12,41,48,3.2879270583522504,18,31,13,28,28,7,3,14,3,3,-3.17546096553803,0.4594809180789835,16,23,4,12
11,17,6,31,33,0,8,1.7000694805758918,0.8578703381352996,5,40,-3.1827906269241084,10,35,45,3.2879270583522504,24,29,6,32,32,4,4,11,4,7,-2.61444503883803,0.3608407416803237,24,29,3,10
15,28,9,29,30,0,2,1.6182106977758917,0.8235134999304631,6,41,-3.0293418973241084,12,52,46,3.23060588915225,15,30,6,29,33,5,5,15,7,7,-2.38992157823803,0.3920465398749572,22,29,3,10
30,30,8,31,26,0,3,1.5169015705758917,0.8121213152192178,8,48,-2.7071150342241084,9,52,51,3.23060588915225,11,33,6,29,33,5,6,10,4,6,-2.20494851093803,0.3770623398447771,19,26,1,9
21,28,5,21,20,0,13,1.5242176656758917,0.7380024680075048,4,61,-2.3277357231241083,9,48,31,3.2886101246522506,17,33,6,38,31,7,4,11,5,6,-1.90895139373803,0.3000256490766188,14,44,4,4
8,24,3,24,21,0,13,1.5242176656758917,0.7328912620461026,5,61,-2.392000488924108,13,47,36,3.2886101246522506,22,33,17,40,27,12,6,11,3,5,-2.24074121603803,0.3304907855711794,19,40,2,4
10,12,1,28,24,0,20,1.5507660639758918,0.7876798970354133,4,63,-2.8686365539241083,17,43,59,3.5827642303522502,26,31,25,34,32,9,7,5,4,1,-2.24074121603803,0.3210202877728986,11,28,4,3
18,25,4,20,24,0,10,1.7239823907758918,0.8875674468015575,7,56,-2.9133097414241083,12,35,48,3.6550512424522505,27,30,15,35,28,7,7,6,6,2,-2.10220838323803,0.3316504326902136,11,32,3,7
7,16,4,23,29,0,13,1.7239823907758918,0.9478476006478788,4,54,-2.953025280424108,9,24,41,4.017075223152251,43,28,20,33,45,10,1,7,2,1,-2.88465991413803,0.3474272308703304,16,27,3,2
6,8,6,38,31,0,18,1.6368783036758918,0.8831100629354948,2,44,-3.108255837924108,8,12,47,4.017075223152251,44,24,17,26,48,8,3,3,2,1,-2.88465991413803,0.320110573738653,17,23,5,1
9,14,12,48,34,0,13,1.4474476740758917,0.7832774905305592,2,46,-3.118176426324108,7,38,44,3.4075772310522505,22,28,15,29,41,5,3,11,2,1,-2.41259284643803,0.2686750765439854,13,31,4,11
15,21,4,13,34,0,8,1.954021825575892,0.751386581181522,3,60,-3.118176426324108,5,43,41,3.3905597102522504,9,33,20,31,32,4,10,7,7,4,-1.8189725372380297,0.2475445412122622,30,40,1,3
9,21,9,15,24,0,9,1.954021825575892,0.8113083481339038,6,55,-2.5820674812241085,8,37,27,3.3905597102522504,21,32,13,21,36,7,9,16,5,4,-2.00249071253803,0.2746617775986562,36,51,3,4
10,30,19,31,22,0,13,1.3347163687758916,0.8282663752273817,6,46,-2.5820674812241085,15,38,48,3.3277889725522503,27,33,12,26,29,9,4,18,5,8,-2.05350971813803,0.3051511753491497,20,27,3,22
7,11,2,43,30,0,18,1.3147687088758917,0.8692500078602118,5,55,-2.939116493724108,9,23,53,3.5398367440522502,31,30,19,32,40,14,4,9,2,1,-2.4968198512380297,0.3203108763790711,12,26,2,1
7,7,3,2,32,0,13,2.447046030575892,0.913986988107708,2,68,-2.939116493724108,8,36,17,3.85430470895225,26,28,23,32,37,8,7,6,4,2,-2.4968198512380297,0.3331886724699025,34,47,3,3
5,16,2,4,26,0,7,2.447046030575892,0.8698779170038992,1,64,-2.1238486483241084,8,46,9,3.85430470895225,22,32,14,30,38,3,8,5,3,1,-2.92482411013803,0.410997055363085,38,62,6,2
6,20,5,11,24,0,6,1.911270957975892,0.8443400985484782,4,58,-2.886275123324108,13,46,37,3.4009584734522504,25,32,13,30,41,3,4,13,2,5,-2.92482411013803,0.3802790885574736,28,35,6,7
