36,18,y_signal_changes,34,20,4,17,37,y_rms,23,15,33,16,21,x_signal_changes,30,z_std,24,9,8,5,14,22,26,7,39,x_rms,x_max,z_rms,32,x_min,3
0,1,32,4,7,30,0,1,0.7640266509369669,124,2,5,1,4,35,123,2.6171634979300538,15,1,3,98,13,44,0,7,2,1.000178981086404,5.508178089875892,3.424985877578229,8,-6.528008449624108,12
14,5,35,26,14,24,10,3,0.4141741383232339,36,28,37,15,23,35,22,1.354869581727559,54,5,13,32,50,9,14,34,1,1.222615163504633,3.753074237575892,0.917893187357816,34,-5.413301512124108,23
10,2,39,29,2,25,12,5,0.6516968458871011,18,28,33,22,12,37,34,1.6235144724938704,77,8,24,31,45,26,15,42,1,2.10412834142745,4.336626638375892,1.3184047428962753,38,-7.294237512424108,12
13,0,43,15,6,27,3,6,1.0507398836766122,16,4,27,3,9,37,26,2.178126170984356,81,3,15,39,18,22,13,27,3,3.5148133560376813,6.357737951975892,2.372391942746628,41,-8.58247012902411,16
20,0,48,22,13,25,4,9,1.21156516544318,11,5,22,6,20,38,16,2.7551447473495383,64,7,18,28,15,19,12,30,7,5.477916758643024,6.827706243575892,3.798392473592912,43,-9.18467708932411,15
25,6,43,26,26,28,6,5,1.2912650558483505,33,13,19,7,23,38,14,3.144260338416902,46,9,19,31,42,14,18,28,8,6.078513239584067,6.827706243575892,4.943402064722147,39,-9.30962210892411,18
22,8,46,18,22,28,4,7,1.328500739627646,34,11,24,5,19,37,15,3.253913709856154,53,6,18,37,38,13,13,29,6,5.659776401193581,7.114051542075892,5.2989994370003295,43,-9.30962210892411,20
24,5,50,15,22,24,7,7,1.5413410648506394,30,14,31,2,13,36,11,3.175821239837835,64,2,21,39,48,17,17,28,7,5.61185974694631,7.114051542075892,5.044275898674528,48,-9.291653947124107,19
24,5,39,20,5,25,8,7,1.5923472264418792,13,12,23,4,20,33,20,3.2538940712992197,69,5,18,38,60,24,20,25,3,5.702323666733513,7.206895550075892,5.294181008864735,35,-9.291653947124107,20
20,6,37,16,2,27,8,11,1.285859638681356,14,23,32,7,21,35,13,3.146961614358788,68,7,12,45,57,25,20,25,7,5.205212015109664,7.206895550075892,4.953645440162119,37,-8.753385797124109,20
12,1,39,19,17,27,9,11,1.1734507434970571,40,13,30,8,20,34,13,2.830664732932072,54,9,15,31,43,17,16,36,4,4.643578118012531,6.378566656475892,4.006836105335761,44,-8.753385797124109,16
16,6,35,15,21,23,5,4,0.9243221528212412,31,53,32,12,17,35,9,2.653206485833263,59,10,31,24,42,13,17,32,5,4.769246861062833,5.611126091175891,3.5200100759797124,46,-8.55721516712411,10
7,4,35,24,2,24,6,13,1.0744487380361647,18,44,38,9,13,33,11,2.9537185885962893,65,8,22,31,57,29,21,35,2,5.346510886491797,6.653055500275892,4.363165797729695,41,-9.86107641112411,19
13,8,35,23,4,32,5,8,1.200841004413775,20,39,37,13,12,33,13,3.054663541508775,65,7,19,39,52,26,20,38,4,4.958143050974893,6.653055500275892,4.666430131765433,41,-9.86107641112411,15
