1,6,x_signal_changes,35,17,38,33,39,37,36,32,23,3,8,rv_mean,y_max,rv_rms,30,rv_signal_changes,2,x_max,0,9,27,y_signal_changes,y_min,4,18,16,11,rv_std,28
1,74,44,7,5,4,23,1,1,6,50,45,7,11,1.855855593759772,3.43343279326197,2.7263449279046488,48,0,2,3.637639992275892,2,3,2,39,-2.84336215793803,20,4,12,3,1.4172120063419813,3
6,4,39,12,2,2,22,3,5,5,43,56,52,2,2.813521057362861,6.77164422396197,5.547769639824801,34,0,26,8.02629322117589,2,1,6,40,-2.84336215793803,66,1,4,43,1.7831540986200187,3
23,2,31,9,3,2,26,6,7,7,39,53,48,1,2.976424480872157,6.77164422396197,6.422130284240332,30,0,52,8.02629322117589,9,1,6,30,-2.84666879353803,51,2,4,41,1.996286021126625,4
13,22,30,10,5,6,25,1,6,9,38,49,48,2,3.2057635704417025,7.665761818161971,7.2544292643588975,22,0,24,5.040323635775891,3,5,5,28,-2.84666879353803,33,5,2,44,2.0571675816876627,5
12,21,31,10,5,4,27,2,7,11,42,44,40,2,3.456216192827967,7.665761818161971,8.061361930240446,15,0,32,5.634377701175891,8,4,7,34,-2.64194057423803,40,3,3,63,2.0438428239262043,5
17,30,28,11,2,6,34,3,4,6,57,58,27,2,3.515337404796392,7.037519400561971,7.972859675195825,10,0,28,5.634377701175891,12,2,4,25,-2.61484087053803,43,5,5,67,1.8942339562026171,4
12,26,31,8,2,2,33,3,4,8,61,49,28,11,3.560551500910438,6.6201957811619705,8.041551213089546,14,0,13,4.025354236275891,13,6,3,24,-2.72629693943803,29,5,5,55,1.8454201244008184,3
10,33,35,15,2,2,34,5,4,10,55,49,15,19,3.72855797101827,6.79638616386197,9.19258437798826,20,0,8,3.484095264375892,9,9,3,31,-2.72629693943803,39,4,2,52,2.117315331435694,5
12,23,35,13,2,3,28,6,3,8,47,48,41,4,3.757187538310423,6.79638616386197,9.892005260502748,33,0,15,5.934402805375892,3,1,2,31,-2.8582031034380297,56,3,4,43,2.380662160612119,3
14,21,34,10,3,2,24,4,6,7,46,38,40,7,3.642719365398641,7.788400949961971,9.228248189507598,37,0,21,5.934402805375892,3,1,1,36,-3.66712259173803,44,3,3,31,2.2775188262591604,3
11,29,33,14,3,2,20,6,4,6,38,30,24,14,3.9813912738608552,10.32530888406197,10.624682674004823,31,0,16,3.967243551675892,13,12,3,37,-4.25465591513803,38,1,1,36,2.323335720991328,2
16,25,37,18,5,4,19,3,4,8,52,57,30,12,4.324013830334234,10.32530888406197,12.346246221161255,25,0,13,4.797581850475892,4,5,3,32,-4.291220990138029,38,1,5,45,2.448549945866077,4
17,32,39,19,5,2,31,4,2,12,57,57,29,8,4.229722062980658,7.72768253516197,12.037238393161822,19,0,9,5.524448043275892,6,5,4,32,-4.291220990138029,49,5,7,32,2.486750501409075,2
