y_min,x_max,y_rms,rv_max,12,10,z_rms,y_signal_changes,35,32,21,z_max,24,16,3,x_rms,2,29,22,7,rv_signal_changes,27,34,20,rv_rms,9,4,8,36,19,z_signal_changes,0
-7.1731247180380295,6.266535500475892,1.8558763278780657,13.45162593730288,6,1,5.886851841820087,40,18,28,10,12.38962812855225,47,4,5,3.947379529268643,6,4,22,22,0,5,15,13,11.69010769896679,11,19,13,13,2,33,4
-8.53793750423803,8.97749761237589,3.3601703790911506,13.45162593730288,5,4,7.448098866168823,44,28,43,15,12.38962812855225,54,20,15,7.68445572671884,13,5,22,24,0,7,28,20,18.492724971978816,3,42,13,16,5,37,10
-8.53793750423803,8.97749761237589,3.6787772500384506,13.174221578147812,6,3,8.087134620654357,37,32,39,14,12.01065859065225,52,25,17,9.29057930039957,14,5,22,28,0,4,22,27,21.05649117109239,7,30,13,21,5,37,12
-5.393194268038029,9.189788104075893,3.279071360732077,13.174221578147812,43,8,8.432104012388209,36,23,35,17,12.01065859065225,50,17,21,9.9899884429449,13,5,16,26,0,2,25,21,21.7011638160652,8,24,13,22,3,39,12
-5.393194268038029,10.307211890875893,3.174064286946785,12.786447262568052,35,9,8.6868240010959,43,22,38,17,11.600602699452253,51,7,17,10.354537082027798,19,5,14,31,0,5,32,21,22.215425370070484,3,26,7,25,5,37,10
-5.306628151638029,10.307211890875893,3.4626118800021795,12.786447262568052,35,9,8.659302294791818,43,27,37,17,11.21663512535225,49,11,21,10.054984910461032,21,5,16,27,0,4,29,20,22.17689908525504,4,29,7,22,6,37,9
-5.1153828058380295,11.847408516975891,2.9746987128240168,12.455696077516071,45,6,7.691615231652913,45,26,33,13,10.856080312752251,52,18,30,10.154442670019533,18,5,14,9,0,3,24,22,20.820756614496467,2,30,7,19,2,33,9
-5.81770277353803,11.847408516975891,2.397519698736352,12.365825213056388,14,2,8.701120384639465,39,27,31,15,11.08424606815225,51,22,25,10.54817864291185,15,7,14,12,0,3,23,22,21.646818726287663,2,31,6,22,12,30,15
-5.81770277353803,10.68309406517589,2.3540789391875854,12.577662232116236,18,2,8.746713536528,34,23,39,18,11.902125917952253,47,23,17,10.18604626111497,19,5,15,23,0,3,21,16,21.28683873683055,4,34,6,19,9,33,13
-5.68210088533803,10.68309406517589,2.6727726262307936,12.577662232116236,26,2,8.973656140015578,35,19,34,17,11.902125917952253,40,12,25,10.433701300115729,17,3,16,27,0,4,20,15,22.08013006636209,5,26,3,21,4,35,10
-5.857592296638029,10.02012539917589,3.460409656114745,12.197222194149925,28,5,8.412155554684576,35,25,29,21,10.89908589085225,42,9,21,10.574639085779848,14,6,17,31,0,9,22,9,22.44720429657917,4,23,8,22,8,36,10
-5.857592296638029,9.553737342575891,3.101228460271427,12.16116627748474,30,3,7.611836906452737,37,23,27,18,11.17681597825225,48,7,16,10.565900218870713,13,4,11,28,0,5,21,18,21.27896558559489,3,23,16,28,5,31,10
-3.58029095633803,9.48502045907589,3.042660609983796,12.595685879697587,52,13,8.59869947654977,35,29,21,20,11.20847222205225,52,10,14,9.659308506785187,18,7,13,27,0,4,21,19,21.300668593318747,4,26,14,22,3,27,10
-3.68880849433803,8.664360659675891,3.1557365255337992,12.595685879697587,47,18,7.83968208233335,34,23,37,16,11.20847222205225,56,10,15,9.234329105841535,20,6,14,26,0,3,32,21,20.22974771370868,5,22,25,27,3,31,9
-4.028736117938029,8.664360659675891,2.575506668706908,12.157863290412749,48,11,8.149715649447678,35,23,39,22,10.563126288252253,43,9,16,10.07455919524184,18,9,16,22,0,5,32,3,20.79978151339643,4,23,27,26,4,32,10
-4.028736117938029,9.495547152975892,2.9878573500093397,12.157863290412749,49,10,8.375395949702305,36,28,28,23,10.52154977175225,42,9,11,10.805536467555822,15,9,19,28,0,9,22,3,22.16878976726744,6,28,11,20,4,31,14
-4.61780521363803,9.495547152975892,3.038507823421556,12.03325339419583,31,5,7.467143980593291,42,22,24,16,10.944683902252253,49,9,12,11.286721269737289,14,6,15,26,0,3,26,23,21.79237307375214,5,26,17,24,5,33,14
-4.61780521363803,8.44195655757589,2.582341332342324,12.33623235214823,44,4,8.551652656719286,45,21,27,17,11.50554468575225,59,7,19,10.475603484571144,16,6,14,22,0,6,31,25,21.60959747363277,10,20,28,28,4,33,10
-4.6431637944380295,8.44195655757589,2.7601246502631374,12.33623235214823,64,8,8.009476950853166,37,26,24,17,11.50554468575225,59,11,18,9.713556653643373,15,6,9,25,0,5,29,23,20.48315825475967,8,16,28,21,1,31,5
-4.6431637944380295,8.470786958775891,2.7394062929599863,12.390753731671133,54,9,7.802133115073349,37,31,23,21,11.06391593765225,48,10,16,9.904102273852756,17,6,7,25,0,3,32,21,20.445641681886105,6,15,28,18,1,29,7
-5.475188673438029,8.470786958775891,3.2840602888487047,12.390753731671133,54,5,8.830778624044912,33,32,22,21,11.06391593765225,45,9,17,9.785643206462671,16,7,13,31,0,4,34,20,21.900482119356266,5,15,27,19,2,33,7
-5.475188673438029,8.376156753775891,3.436738814683786,12.183390391333988,52,7,8.20849050079607,30,23,25,16,11.198790886352253,48,15,15,10.1597870061926,15,7,14,34,0,4,30,18,21.80501632167245,7,19,24,21,2,33,10
-4.55143440003803,9.895887261075892,3.3494973295870825,12.356865059687468,40,12,8.509112208582396,35,23,30,16,11.198790886352253,50,5,15,9.786901139340124,13,8,13,29,0,5,33,23,21.64551067750961,3,26,9,25,6,28,11
-5.70862650463803,9.895887261075892,3.4202626712919355,12.669130010114197,24,3,8.382188705663815,34,23,30,24,11.114704341752253,45,9,11,9.091706993761813,12,9,15,26,0,5,36,14,20.89415837071756,2,33,9,20,8,29,9
-6.85791381203803,8.73582546407589,3.476748165608843,13.480828420199437,23,3,8.727862014904682,33,30,28,23,11.83478556005225,50,11,13,9.77363819343609,11,8,22,29,0,6,30,9,21.978248373949604,5,33,22,18,3,29,10
